Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
TMEM266	15q24.2	0.55	0.67	0.57	0.62	-0.12	0.789	0.935	(B) Luminal Androgen Receptor
DLG5	10q22.3	0.07	0.19	0.13	0.33	-0.12	0.601	0.866	(B) Luminal Androgen Receptor
NPR3	5p13.3	0.24	0.36	0.44	0.62	-0.12	0.784	0.934	(B) Luminal Androgen Receptor
CYP2S1	19q13.2	0.31	0.43	0.53	0.47	-0.12	0.736	0.916	(B) Luminal Androgen Receptor
PMS2	7p22.1	0.03	0.14	0.05	0.21	-0.12	0.430	0.783	(B) Luminal Androgen Receptor
SMARCC2	12q13.2	0.07	0.19	0.14	0.24	-0.12	0.492	0.817	(B) Luminal Androgen Receptor
CCPG1	15q21.3	0.40	0.52	0.30	0.44	-0.12	0.699	0.904	(B) Luminal Androgen Receptor
LRRC47	1p36.32	0.01	0.13	0.02	0.17	-0.12	0.358	0.739	(B) Luminal Androgen Receptor
NPY4R	10q11.22	0.15	0.27	0.33	0.38	-0.12	0.741	0.918	(B) Luminal Androgen Receptor
ID3	1p36.12	0.40	0.52	0.41	0.45	-0.12	0.712	0.909	(B) Luminal Androgen Receptor
GLIS3	9p24.2	0.09	0.21	0.20	0.37	-0.12	0.639	0.883	(B) Luminal Androgen Receptor
FAM163A	1q25.2	0.20	0.32	0.29	0.56	-0.12	0.755	0.923	(B) Luminal Androgen Receptor
BRIX1	5p13.2	0.20	0.32	0.28	0.55	-0.12	0.748	0.921	(B) Luminal Androgen Receptor
CXORF65	Xq13.1	1.09	1.21	0.44	0.87	-0.12	0.838	0.951	(B) Luminal Androgen Receptor
SECISBP2	9q22.2	0.23	0.35	0.25	0.11	-0.12	0.310	0.710	(B) Luminal Androgen Receptor
FAM90A25P	8p23.1	0.31	0.43	0.61	0.74	-0.12	0.818	0.946	(B) Luminal Androgen Receptor
CLCN5	Xp11.23	0.02	0.14	0.06	0.24	-0.12	0.482	0.813	(B) Luminal Androgen Receptor
ZNF682	19p12	0.08	0.20	0.16	0.24	-0.12	0.495	0.818	(B) Luminal Androgen Receptor
KMT5B	11q13.2	0.10	0.22	0.16	0.26	-0.12	0.524	0.830	(B) Luminal Androgen Receptor
ISYNA1	19p13.11	0.09	0.21	0.25	0.36	-0.12	0.639	0.883	(B) Luminal Androgen Receptor
PPARGC1B	5q32	0.12	0.24	0.22	0.42	-0.12	0.676	0.896	(B) Luminal Androgen Receptor
ZSWIM7	17p12	0.24	0.36	0.31	0.46	-0.12	0.708	0.907	(B) Luminal Androgen Receptor
LINC01572	16q22.2	0.14	0.26	0.30	0.44	-0.12	0.706	0.906	(B) Luminal Androgen Receptor
RSAD1	17q21.33	0.09	0.21	0.11	0.19	-0.12	0.391	0.759	(B) Luminal Androgen Receptor
ATP6V1C2	2p25.1	0.16	0.28	0.29	0.49	-0.12	0.723	0.913	(B) Luminal Androgen Receptor
ABHD4	14q11.2	0.16	0.28	0.19	0.42	-0.12	0.675	0.895	(B) Luminal Androgen Receptor
HEATR9	17q12	0.51	0.63	0.65	0.56	-0.12	0.776	0.931	(B) Luminal Androgen Receptor
FGD2	6p21.2	0.63	0.75	0.48	0.65	-0.12	0.792	0.936	(B) Luminal Androgen Receptor
GYG2	Xp22.33	0.15	0.27	0.28	0.40	-0.12	0.668	0.893	(B) Luminal Androgen Receptor
RUNX1	21q22.12	0.02	0.14	0.04	0.13	-0.12	0.242	0.650	(B) Luminal Androgen Receptor
POMT2	14q24.3	0.01	0.13	0.03	0.15	-0.12	0.305	0.706	(B) Luminal Androgen Receptor
TRADD	16q22.1	0.57	0.69	0.49	0.31	-0.12	0.650	0.886	(B) Luminal Androgen Receptor
MBTD1	17q21.33	0.24	0.36	0.36	0.31	-0.12	0.615	0.872	(B) Luminal Androgen Receptor
KLHL20	1q25.1	0.18	0.31	0.16	0.26	-0.12	0.511	0.824	(B) Luminal Androgen Receptor
DHRS4	14q11.2	0.31	0.43	0.46	0.23	-0.12	0.582	0.858	(B) Luminal Androgen Receptor
ITGBL1	13q33.1	0.43	0.55	0.67	0.25	-0.12	0.673	0.895	(B) Luminal Androgen Receptor
RFT1	3p21.1	0.18	0.30	0.22	0.30	-0.12	0.571	0.853	(B) Luminal Androgen Receptor
ERG	21q22.2	0.28	0.40	0.38	0.48	-0.12	0.723	0.913	(B) Luminal Androgen Receptor
RDH12	14q24.1	0.22	0.35	0.38	0.60	-0.12	0.770	0.929	(B) Luminal Androgen Receptor
MMAB	12q24.11	0.15	0.27	0.27	0.25	-0.12	0.522	0.829	(B) Luminal Androgen Receptor
FAM107B	10p13	0.46	0.58	0.34	0.22	-0.12	0.513	0.824	(B) Luminal Androgen Receptor
CACNA2D4	12p13.33	0.25	0.37	0.44	0.33	-0.12	0.643	0.884	(B) Luminal Androgen Receptor
PAK4	19q13.2	0.26	0.39	0.35	0.67	-0.12	0.789	0.936	(B) Luminal Androgen Receptor
USPL1	13q12.3	0.29	0.41	0.34	0.33	-0.12	0.623	0.876	(B) Luminal Androgen Receptor
HNF1A	12q24.31	0.14	0.26	0.17	0.27	-0.12	0.534	0.836	(B) Luminal Androgen Receptor
LIPE-AS1	19q13.2	0.11	0.23	0.29	0.40	-0.12	0.668	0.893	(B) Luminal Androgen Receptor
BCAS3	17q23.2	0.13	0.25	0.29	0.22	-0.12	0.497	0.818	(B) Luminal Androgen Receptor
FAM95B1	9p11.2	0.19	0.31	0.43	0.29	-0.12	0.611	0.870	(B) Luminal Androgen Receptor
CCAT2	8q24.21	0.14	0.26	0.28	0.41	-0.12	0.685	0.899	(B) Luminal Androgen Receptor
BLTP3B	12q23.1	0.08	0.20	0.19	0.30	-0.12	0.569	0.852	(B) Luminal Androgen Receptor
GMDS	6p25.3	0.36	0.48	0.37	0.84	-0.12	0.828	0.948	(B) Luminal Androgen Receptor
CTNND1	11q12.1	0.03	0.15	0.08	0.17	-0.12	0.341	0.733	(B) Luminal Androgen Receptor
SERPINE1	7q22.1	0.38	0.50	0.59	0.87	-0.12	0.838	0.951	(B) Luminal Androgen Receptor
ABRA	8q23.1	0.32	0.44	0.58	0.41	-0.12	0.731	0.915	(B) Luminal Androgen Receptor
IL5RA	3p26.2	0.82	0.94	0.60	0.73	-0.12	0.812	0.943	(B) Luminal Androgen Receptor
TNNI1	1q32.1	0.24	0.37	0.43	0.63	-0.12	0.781	0.934	(B) Luminal Androgen Receptor
HOXD8	2q31.1	0.08	0.20	0.11	0.19	-0.12	0.395	0.762	(B) Luminal Androgen Receptor
PWWP3B	Xq22.3	0.32	0.44	0.64	0.48	-0.12	0.747	0.921	(B) Luminal Androgen Receptor
ZNF500	16p13.3	0.07	0.19	0.10	0.17	-0.12	0.347	0.734	(B) Luminal Androgen Receptor
LZTR1	22q11.21	0.03	0.15	0.07	0.17	-0.12	0.348	0.734	(B) Luminal Androgen Receptor
TRIM14	9q22.33	0.30	0.42	0.41	0.37	-0.12	0.660	0.890	(B) Luminal Androgen Receptor
MFF	2q36.3	0.14	0.26	0.26	0.15	-0.12	0.359	0.740	(B) Luminal Androgen Receptor
C1D	2p14	0.24	0.37	0.40	0.35	-0.12	0.647	0.885	(B) Luminal Androgen Receptor
FOXK1	7p22.1	0.08	0.21	0.23	0.18	-0.12	0.399	0.765	(B) Luminal Androgen Receptor
KMT2A	11q23.3	0.28	0.41	0.39	0.35	-0.12	0.645	0.884	(B) Luminal Androgen Receptor
CFAP161	15q25.1	0.26	0.38	0.35	0.54	-0.12	0.805	0.941	(B) Luminal Androgen Receptor
RAB5B	12q13.2	0.17	0.29	0.31	0.11	-0.12	0.361	0.742	(B) Luminal Androgen Receptor
MFAP3L	4q33	0.25	0.37	0.52	0.63	-0.12	0.784	0.934	(B) Luminal Androgen Receptor
AMBP	9q32	0.42	0.54	0.75	0.47	-0.12	0.758	0.924	(B) Luminal Androgen Receptor
CAMK2D	4q26	0.21	0.33	0.23	0.23	-0.12	0.475	0.811	(B) Luminal Androgen Receptor
KRT27	17q21.2	0.08	0.20	0.13	0.26	-0.12	0.524	0.830	(B) Luminal Androgen Receptor
PKD2	4q22.1	0.11	0.23	0.16	0.29	-0.12	0.550	0.844	(B) Luminal Androgen Receptor
LPIN3	20q12	0.15	0.27	0.30	0.46	-0.12	0.703	0.906	(B) Luminal Androgen Receptor
SFI1	22q12.2	0.26	0.38	0.26	0.37	-0.12	0.637	0.882	(B) Luminal Androgen Receptor
SLC4A7	3p24.1	0.11	0.24	0.16	0.22	-0.12	0.452	0.796	(B) Luminal Androgen Receptor
CAMKK1	17p13.2	0.11	0.24	0.21	0.38	-0.12	0.643	0.884	(B) Luminal Androgen Receptor
LMAN1L	15q24.1	0.50	0.63	0.70	1.09	-0.12	0.872	0.961	(B) Luminal Androgen Receptor
TTC17	11p12-p11.2	0.06	0.18	0.16	0.28	-0.12	0.534	0.836	(B) Luminal Androgen Receptor
BSCL2	11q12.3	0.22	0.35	0.34	0.33	-0.12	0.613	0.871	(B) Luminal Androgen Receptor
NME1-NME2	17q21.33	0.16	0.28	0.28	0.49	-0.12	0.713	0.909	(B) Luminal Androgen Receptor
SNRK	3p22.1	0.24	0.37	0.25	0.34	-0.12	0.609	0.870	(B) Luminal Androgen Receptor
SUSD1	9q31.3-q32	0.14	0.27	0.33	0.23	-0.12	0.520	0.828	(B) Luminal Androgen Receptor
ANAPC4	4p15.2	0.22	0.34	0.27	0.42	-0.12	0.672	0.894	(B) Luminal Androgen Receptor
LOC440300	15q25.2	0.11	0.23	0.25	0.40	-0.12	0.656	0.888	(B) Luminal Androgen Receptor
ASB16	17q21.31	0.02	0.14	0.05	0.24	-0.12	0.466	0.805	(B) Luminal Androgen Receptor
ICOSLG	21q22.3	0.29	0.41	0.52	0.41	-0.12	0.698	0.904	(B) Luminal Androgen Receptor
GALK2	15q21.1-q21.2	0.22	0.34	0.30	0.30	-0.12	0.576	0.856	(B) Luminal Androgen Receptor
NANS	9q22.33	0.27	0.39	0.36	0.39	-0.12	0.665	0.892	(B) Luminal Androgen Receptor
HES4	1p36.33	0.33	0.46	0.37	0.79	-0.12	0.816	0.945	(B) Luminal Androgen Receptor
FMNL2	2q23.3	0.11	0.23	0.22	0.25	-0.12	0.500	0.818	(B) Luminal Androgen Receptor
CLASP1	2q14.2-q14.3	0.04	0.16	0.10	0.28	-0.12	0.524	0.830	(B) Luminal Androgen Receptor
PTGDS	9q34.3	1.19	1.31	0.60	0.46	-0.12	0.733	0.915	(B) Luminal Androgen Receptor
ESPN	1p36.31	0.18	0.30	0.41	0.52	-0.12	0.737	0.917	(B) Luminal Androgen Receptor
STARD13	13q13.1	0.02	0.14	0.05	0.24	-0.12	0.473	0.809	(B) Luminal Androgen Receptor
HAUS3	4p16.3	0.31	0.44	0.45	0.38	-0.12	0.670	0.894	(B) Luminal Androgen Receptor
SMARCAD1	4q22.3	0.15	0.27	0.24	0.37	-0.12	0.630	0.879	(B) Luminal Androgen Receptor
MAP3K9	14q24.2	0.06	0.18	0.12	0.27	-0.12	0.521	0.829	(B) Luminal Androgen Receptor
COG7	16p12.2	0.10	0.22	0.21	0.38	-0.12	0.638	0.883	(B) Luminal Androgen Receptor
POLR2J2	7q22.1	0.36	0.48	0.46	0.53	-0.12	0.741	0.918	(B) Luminal Androgen Receptor
SMARCA5	4q31.21	0.24	0.36	0.20	0.13	-0.12	0.280	0.684	(B) Luminal Androgen Receptor
NIT1	1q23.3	0.07	0.20	0.16	0.34	-0.12	0.601	0.866	(B) Luminal Androgen Receptor
TOR1B	9q34.11	0.09	0.22	0.10	0.31	-0.12	0.557	0.847	(B) Luminal Androgen Receptor
ETHE1	19q13.31	0.36	0.48	0.40	0.51	-0.12	0.731	0.915	(B) Luminal Androgen Receptor
FAM53B-AS1	10q26.13	0.22	0.34	0.34	0.38	-0.12	0.662	0.891	(B) Luminal Androgen Receptor
MEIS3	19q13.32	0.04	0.16	0.11	0.28	-0.12	0.531	0.834	(B) Luminal Androgen Receptor
AGL	1p21.2	0.06	0.19	0.08	0.26	-0.12	0.494	0.818	(B) Luminal Androgen Receptor
ZNF426	19p13.2	0.15	0.28	0.28	0.22	-0.12	0.484	0.814	(B) Luminal Androgen Receptor
ZSCAN18	19q13.43	0.06	0.19	0.18	0.16	-0.12	0.332	0.727	(B) Luminal Androgen Receptor
UBE3C	7q36.3	0.14	0.26	0.27	0.45	-0.12	0.690	0.901	(B) Luminal Androgen Receptor
ST6GALNAC6	9q34.11	0.30	0.43	0.27	0.43	-0.12	0.673	0.895	(B) Luminal Androgen Receptor
SNX4	3q21.2	0.19	0.31	0.35	0.40	-0.12	0.662	0.891	(B) Luminal Androgen Receptor
DCTPP1	16p11.2	0.10	0.23	0.22	0.40	-0.12	0.649	0.886	(B) Luminal Androgen Receptor
WASH7P	1p36.33	0.15	0.27	0.31	0.24	-0.12	0.508	0.822	(B) Luminal Androgen Receptor
TACC2	10q26.13	0.11	0.23	0.30	0.40	-0.12	0.659	0.890	(B) Luminal Androgen Receptor
SNX33	15q24.2	0.06	0.18	0.11	0.20	-0.13	0.394	0.761	(B) Luminal Androgen Receptor
TCF12	15q21.3	0.11	0.24	0.17	0.29	-0.13	0.544	0.841	(B) Luminal Androgen Receptor
MPC2	1q24.2	0.43	0.56	0.53	0.50	-0.13	0.735	0.916	(B) Luminal Androgen Receptor
RIMKLB	12p13.31	0.05	0.18	0.11	0.25	-0.13	0.488	0.816	(B) Luminal Androgen Receptor
METTL3	14q11.2	0.15	0.28	0.20	0.30	-0.13	0.551	0.845	(B) Luminal Androgen Receptor
MLIP	6p12.1	0.26	0.38	0.32	0.67	-0.13	0.780	0.933	(B) Luminal Androgen Receptor
DMAC2L	14q21.3	0.08	0.20	0.10	0.34	-0.13	0.587	0.860	(B) Luminal Androgen Receptor
PPARD	6p21.31	0.15	0.27	0.26	0.29	-0.13	0.556	0.847	(B) Luminal Androgen Receptor
TMED2	12q24.31	0.14	0.26	0.22	0.38	-0.13	0.638	0.883	(B) Luminal Androgen Receptor
RNF212	4p16.3	0.56	0.69	0.57	1.19	-0.13	0.875	0.961	(B) Luminal Androgen Receptor
MIR22HG	17p13.3	0.17	0.30	0.29	0.39	-0.13	0.652	0.887	(B) Luminal Androgen Receptor
HTRA3	4p16.1	0.30	0.43	0.61	0.74	-0.13	0.809	0.943	(B) Luminal Androgen Receptor
SATB2	2q33.1	0.03	0.15	0.07	0.22	-0.13	0.430	0.783	(B) Luminal Androgen Receptor
FAM225B	9q32	0.05	0.18	0.15	0.31	-0.13	0.563	0.849	(B) Luminal Androgen Receptor
ATP6V0D1	16q22.1	0.19	0.32	0.29	0.20	-0.13	0.445	0.793	(B) Luminal Androgen Receptor
P2RY4	Xq13.1	0.43	0.56	0.48	0.56	-0.13	0.757	0.924	(B) Luminal Androgen Receptor
GFOD3P	1p36.32	0.08	0.20	0.14	0.34	-0.13	0.594	0.863	(B) Luminal Androgen Receptor
TMEM178B	7q34	0.54	0.66	0.58	0.58	-0.13	0.766	0.927	(B) Luminal Androgen Receptor
CATSPER2	15q15.3	0.35	0.48	0.48	0.47	-0.13	0.715	0.910	(B) Luminal Androgen Receptor
QPRT	16p11.2	0.73	0.85	0.66	0.76	-0.13	0.814	0.944	(B) Luminal Androgen Receptor
TEK	9p21.2	0.35	0.48	0.39	0.63	-0.13	0.769	0.928	(B) Luminal Androgen Receptor
PLA2G15	16q22.1	0.31	0.44	0.36	0.40	-0.13	0.661	0.891	(B) Luminal Androgen Receptor
ARHGAP5	14q12	0.15	0.28	0.24	0.24	-0.13	0.489	0.816	(B) Luminal Androgen Receptor
PLPP4	10q26.12	0.23	0.36	0.45	0.62	-0.13	0.770	0.928	(B) Luminal Androgen Receptor
CD36	7q21.11	0.29	0.41	0.34	0.37	-0.13	0.637	0.883	(B) Luminal Androgen Receptor
METTL22	16p13.2	0.03	0.16	0.07	0.14	-0.13	0.249	0.658	(B) Luminal Androgen Receptor
GET4	7p22.3	0.06	0.19	0.13	0.33	-0.13	0.574	0.855	(B) Luminal Androgen Receptor
RIBC1	Xp11.22	0.18	0.31	0.39	0.41	-0.13	0.671	0.894	(B) Luminal Androgen Receptor
ADGRG4	Xq26.3	0.31	0.43	0.47	0.52	-0.13	0.795	0.938	(B) Luminal Androgen Receptor
PRPF39	14q21.2	0.16	0.29	0.21	0.26	-0.13	0.502	0.819	(B) Luminal Androgen Receptor
KCTD4	13q14.12-q14.13	0.42	0.54	0.59	0.48	-0.13	0.732	0.915	(B) Luminal Androgen Receptor
VKORC1L1	7q11.21	0.14	0.27	0.28	0.46	-0.13	0.689	0.901	(B) Luminal Androgen Receptor
NLRP6	11p15.5	0.59	0.72	0.65	0.84	-0.13	0.827	0.948	(B) Luminal Androgen Receptor
PIH1D2	11q23.1	0.20	0.32	0.35	0.28	-0.13	0.560	0.848	(B) Luminal Androgen Receptor
LETM1	4p16.3	0.11	0.24	0.23	0.22	-0.13	0.440	0.790	(B) Luminal Androgen Receptor
REV1	2q11.2	0.08	0.21	0.18	0.21	-0.13	0.424	0.778	(B) Luminal Androgen Receptor
ZBTB47	3p22.1	0.02	0.15	0.07	0.26	-0.13	0.489	0.816	(B) Luminal Androgen Receptor
ZNF143	11p15.4	0.21	0.34	0.11	0.22	-0.13	0.417	0.778	(B) Luminal Androgen Receptor
ZBED3	5q13.3	0.07	0.19	0.13	0.34	-0.13	0.583	0.858	(B) Luminal Androgen Receptor
REM2	14q11.2	0.46	0.59	0.46	0.71	-0.13	0.792	0.936	(B) Luminal Androgen Receptor
RGS14	5q35.3	0.40	0.53	0.44	0.26	-0.13	0.574	0.855	(B) Luminal Androgen Receptor
KDM3A	2p11.2	0.07	0.20	0.11	0.21	-0.13	0.398	0.765	(B) Luminal Androgen Receptor
RCC1	1p35.3	0.09	0.22	0.20	0.38	-0.13	0.625	0.877	(B) Luminal Androgen Receptor
FNDC9	5q33.3	0.64	0.76	0.59	0.34	-0.13	0.719	0.911	(B) Luminal Androgen Receptor
SULT1A4	16p11.2	0.28	0.40	0.31	0.70	-0.13	0.786	0.935	(B) Luminal Androgen Receptor
GZF1	20p11.21	0.07	0.19	0.13	0.34	-0.13	0.582	0.858	(B) Luminal Androgen Receptor
ENDOV	17q25.3	0.21	0.34	0.31	0.59	-0.13	0.750	0.922	(B) Luminal Androgen Receptor
SH3BGRL2	6q14.1	0.42	0.55	0.41	0.49	-0.13	0.713	0.909	(B) Luminal Androgen Receptor
PEX11G	19p13.2	0.31	0.44	0.54	0.49	-0.13	0.725	0.914	(B) Luminal Androgen Receptor
GSK3B	3q13.33	0.12	0.25	0.29	0.22	-0.13	0.461	0.803	(B) Luminal Androgen Receptor
UCA1	19p13.12	0.36	0.49	0.88	0.47	-0.13	0.774	0.930	(B) Luminal Androgen Receptor
PCDHB4	5q31.3	0.19	0.32	0.36	0.41	-0.13	0.661	0.891	(B) Luminal Androgen Receptor
LCLAT1	2p23.1	0.04	0.17	0.11	0.14	-0.13	0.260	0.667	(B) Luminal Androgen Receptor
ATP2A3	17p13.2	0.75	0.88	0.58	0.77	-0.13	0.811	0.943	(B) Luminal Androgen Receptor
EIF2AK4	15q15.1	0.19	0.32	0.22	0.55	-0.13	0.729	0.915	(B) Luminal Androgen Receptor
CTSD	11p15.5	0.13	0.26	0.35	0.45	-0.13	0.684	0.899	(B) Luminal Androgen Receptor
THPO	3q27.1	0.22	0.35	0.30	0.35	-0.13	0.614	0.871	(B) Luminal Androgen Receptor
MMADHC	2q23.2	0.27	0.40	0.41	0.45	-0.13	0.691	0.901	(B) Luminal Androgen Receptor
H2BC8	6p22.2	0.11	0.24	0.19	0.42	-0.13	0.652	0.887	(B) Luminal Androgen Receptor
SBF1	22q13.33	0.11	0.24	0.20	0.20	-0.13	0.400	0.766	(B) Luminal Androgen Receptor
NBPF3	1p36.12	0.22	0.35	0.29	0.60	-0.13	0.750	0.922	(B) Luminal Androgen Receptor
TBC1D5	3p24.3	0.12	0.25	0.27	0.27	-0.13	0.527	0.832	(B) Luminal Androgen Receptor
TAS2R46	12p13.2	0.37	0.49	0.35	0.09	-0.13	0.477	0.811	(B) Luminal Androgen Receptor
TLDC2	20q11.23	0.60	0.73	0.57	0.66	-0.13	0.783	0.934	(B) Luminal Androgen Receptor
DOCK4	7q31.1	0.08	0.21	0.17	0.28	-0.13	0.513	0.824	(B) Luminal Androgen Receptor
CCL18	17q12	1.14	1.27	0.90	0.78	-0.13	0.825	0.948	(B) Luminal Androgen Receptor
ATXN1L	16q22.2	0.02	0.15	0.06	0.20	-0.13	0.372	0.748	(B) Luminal Androgen Receptor
GLUD2	Xq24	0.13	0.26	0.21	0.45	-0.13	0.671	0.894	(B) Luminal Androgen Receptor
TMEM131	2q11.2	0.13	0.26	0.24	0.09	-0.13	0.225	0.633	(B) Luminal Androgen Receptor
TYW1	7q11.21	0.02	0.15	0.05	0.05	-0.13	0.0150	0.384	(B) Luminal Androgen Receptor
MTERF2	12q23.3	0.13	0.26	0.27	0.29	-0.13	0.542	0.840	(B) Luminal Androgen Receptor
SLC35H1	20q13.12	0.22	0.35	0.28	0.31	-0.13	0.562	0.849	(B) Luminal Androgen Receptor
VCPKMT	14q21.3	0.29	0.43	0.28	0.22	-0.13	0.459	0.801	(B) Luminal Androgen Receptor
FHIP2B	8p21.3	0.10	0.23	0.13	0.35	-0.13	0.585	0.859	(B) Luminal Androgen Receptor
NSUN2	5p15.31	0.13	0.26	0.20	0.46	-0.13	0.677	0.896	(B) Luminal Androgen Receptor
H2BP1	1p11.2	0.10	0.23	0.21	0.40	-0.13	0.640	0.883	(B) Luminal Androgen Receptor
BRD3OS	9q34.2	0.08	0.21	0.19	0.33	-0.13	0.575	0.855	(B) Luminal Androgen Receptor
HYAL3	3p21.31	0.16	0.29	0.30	0.42	-0.13	0.660	0.890	(B) Luminal Androgen Receptor
B3GALNT1	3q26.1	0.20	0.33	0.30	0.58	-0.13	0.740	0.918	(B) Luminal Androgen Receptor
ERRFI1	1p36.23	0.29	0.42	0.57	0.52	-0.13	0.736	0.916	(B) Luminal Androgen Receptor
SRP54	14q13.2	0.36	0.49	0.34	0.19	-0.13	0.452	0.796	(B) Luminal Androgen Receptor
HOXD4	2q31.1	0.24	0.37	0.45	0.50	-0.13	0.717	0.911	(B) Luminal Androgen Receptor
STT3A	11q24.2	0.09	0.22	0.12	0.33	-0.13	0.566	0.850	(B) Luminal Androgen Receptor
ATE1	10q26.13	0.15	0.28	0.19	0.18	-0.13	0.363	0.742	(B) Luminal Androgen Receptor
FTL	19q13.33	0.35	0.48	0.36	0.83	-0.13	0.813	0.944	(B) Luminal Androgen Receptor
RDH11	14q24.1	0.24	0.37	0.46	0.33	-0.13	0.623	0.876	(B) Luminal Androgen Receptor
ZZEF1	17p13.2	0.17	0.30	0.21	0.27	-0.13	0.509	0.823	(B) Luminal Androgen Receptor
PTPRH	19q13.42	0.18	0.31	0.28	0.53	-0.13	0.717	0.910	(B) Luminal Androgen Receptor
SSC5D	19q13.42	0.10	0.23	0.29	0.40	-0.13	0.644	0.884	(B) Luminal Androgen Receptor
RTL6	22q13.31	0.01	0.14	0.03	0.25	-0.13	0.455	0.798	(B) Luminal Androgen Receptor
JAG1	20p12.2	0.19	0.32	0.28	0.56	-0.13	0.731	0.915	(B) Luminal Androgen Receptor
HABP4	9q22.32	0.14	0.27	0.29	0.25	-0.13	0.493	0.817	(B) Luminal Androgen Receptor
RPRML	17q21.32	0.29	0.42	0.62	0.72	-0.13	0.803	0.940	(B) Luminal Androgen Receptor
CFAP144	1p34.2	0.17	0.30	0.23	0.53	-0.13	0.717	0.910	(B) Luminal Androgen Receptor
SLC25A20	3p21.31	0.37	0.50	0.35	0.43	-0.13	0.670	0.894	(B) Luminal Androgen Receptor
ST3GAL1	8q24.22	0.17	0.30	0.24	0.28	-0.13	0.524	0.831	(B) Luminal Androgen Receptor
DHFR2	3q11.2	0.33	0.46	0.32	0.37	-0.13	0.622	0.875	(B) Luminal Androgen Receptor
REPIN1	7q36.1	0.05	0.18	0.09	0.26	-0.13	0.470	0.807	(B) Luminal Androgen Receptor
F2R	5q13.3	0.42	0.55	0.57	0.45	-0.13	0.709	0.908	(B) Luminal Androgen Receptor
HSF2	6q22.31	0.39	0.53	0.35	0.46	-0.13	0.685	0.899	(B) Luminal Androgen Receptor
SHE	1q21.3	0.39	0.52	0.33	0.40	-0.13	0.644	0.884	(B) Luminal Androgen Receptor
FBXO4	5p13.1	0.17	0.30	0.17	0.28	-0.13	0.506	0.822	(B) Luminal Androgen Receptor
IGF2-AS	11p15.5	0.21	0.34	0.39	0.59	-0.13	0.751	0.922	(B) Luminal Androgen Receptor
FHL1	Xq26.3	0.54	0.67	0.49	0.59	-0.13	0.751	0.922	(B) Luminal Androgen Receptor
TTC1	5q33.3	0.22	0.36	0.24	0.17	-0.13	0.361	0.742	(B) Luminal Androgen Receptor
FBXO22-AS1	15q24.2	0.25	0.38	0.46	0.66	-0.13	0.772	0.929	(B) Luminal Androgen Receptor
GGA3	17q25.1	0.11	0.24	0.12	0.33	-0.13	0.563	0.849	(B) Luminal Androgen Receptor
SNHG18	5p15.31	0.03	0.16	0.08	0.22	-0.13	0.401	0.766	(B) Luminal Androgen Receptor
TUBGCP4	15q15.3	0.11	0.24	0.19	0.23	-0.13	0.436	0.787	(B) Luminal Androgen Receptor
FBXW8	12q24.22	0.02	0.15	0.05	0.25	-0.13	0.458	0.800	(B) Luminal Androgen Receptor
LNCEGFL7OS	9q34.3	0.43	0.56	0.51	0.45	-0.13	0.696	0.903	(B) Luminal Androgen Receptor
GPR25	1q32.1	0.92	1.05	0.78	0.60	-0.13	0.778	0.932	(B) Luminal Androgen Receptor
ZNF347	19q13.42	0.13	0.26	0.35	0.10	-0.13	0.358	0.739	(B) Luminal Androgen Receptor
NOTCH1	9q34.3	0.02	0.15	0.04	0.26	-0.13	0.466	0.805	(B) Luminal Androgen Receptor
HIF3A	19q13.32	0.36	0.49	0.54	0.56	-0.13	0.743	0.920	(B) Luminal Androgen Receptor
ZNF785	16p11.2	0.05	0.18	0.14	0.31	-0.13	0.544	0.841	(B) Luminal Androgen Receptor
LINC01569	16p13.3	0.20	0.33	0.29	0.29	-0.13	0.536	0.837	(B) Luminal Androgen Receptor
HOXA11-AS	7p15.2	0.17	0.31	0.43	0.53	-0.13	0.729	0.915	(B) Luminal Androgen Receptor
AMFR	16q13	0.24	0.38	0.27	0.23	-0.13	0.461	0.802	(B) Luminal Androgen Receptor
FAM91A1	8q24.13	0.02	0.15	0.03	0.17	-0.13	0.309	0.709	(B) Luminal Androgen Receptor
GOLGA6C	15q24.2	0.28	0.41	0.35	0.39	-0.13	0.645	0.885	(B) Luminal Androgen Receptor
ZNF157	Xp11.3	0.21	0.34	0.42	0.38	-0.13	0.655	0.887	(B) Luminal Androgen Receptor
SPATA20	17q21.33	0.11	0.24	0.18	0.41	-0.13	0.638	0.883	(B) Luminal Androgen Receptor
INPP5F	10q26.11	0.15	0.28	0.36	0.25	-0.13	0.515	0.825	(B) Luminal Androgen Receptor
ANKZF1	2q35	0.10	0.24	0.16	0.33	-0.13	0.564	0.849	(B) Luminal Androgen Receptor
CHGB	20p12.3	0.78	0.91	0.46	0.79	-0.13	0.805	0.941	(B) Luminal Androgen Receptor
NKAPP1	Xq24	0.20	0.33	0.27	0.29	-0.13	0.532	0.835	(B) Luminal Androgen Receptor
HHIP	4q31.21	0.28	0.41	0.39	0.36	-0.13	0.625	0.877	(B) Luminal Androgen Receptor
SKIC3	5q15	0.22	0.35	0.18	0.21	-0.13	0.392	0.759	(B) Luminal Androgen Receptor
