Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
PPP4R4	14q32.2	1.51	0.81	1.15	1.12	0.70	0.244	0.748	(A) Basal-Like 1
DOC2A	16p11.2	1.24	0.54	0.66	0.78	0.70	0.0737	0.692	(A) Basal-Like 1
EXTL1	1p36.11	2.10	1.40	0.59	1.14	0.70	0.140	0.705	(A) Basal-Like 1
GBP1P1	1p22.2	0.83	0.14	0.79	0.31	0.70	0.0619	0.692	(A) Basal-Like 1
RGS10	10q26.11	1.01	0.31	0.71	0.62	0.70	0.0625	0.692	(A) Basal-Like 1
ICAM4	19p13.2	0.73	0.04	0.54	0.11	0.69	0.0144	0.692	(A) Basal-Like 1
PIM2	Xp11.23	0.83	0.14	0.67	0.32	0.69	0.0346	0.692	(A) Basal-Like 1
PLPPR1	9q31.1	1.20	0.50	0.97	0.89	0.69	0.211	0.727	(A) Basal-Like 1
MEI1	22q13.2	0.69	0.00	0.67	0.00	0.69	0.0350	0.692	(A) Basal-Like 1
MAGEC3	Xq27.2	0.94	0.25	0.71	0.43	0.69	0.104	0.692	(A) Basal-Like 1
PUM3	9p24.2	1.08	0.39	0.52	0.47	0.69	0.0178	0.692	(A) Basal-Like 1
ZMYND15	17p13.2	0.69	0.01	0.66	0.02	0.69	0.0323	0.692	(A) Basal-Like 1
CATSPERE	1q44	0.86	0.17	0.54	0.36	0.69	0.0152	0.692	(A) Basal-Like 1
MEAK7	16q24.1	1.00	0.32	0.46	0.50	0.69	0.0130	0.692	(A) Basal-Like 1
CDC42EP1	22q13.1	0.99	0.30	0.52	0.37	0.69	0.0139	0.692	(A) Basal-Like 1
NCOA7	6q22.31-q22.32	0.86	0.18	0.55	0.29	0.69	0.0161	0.692	(A) Basal-Like 1
ARX	Xp21.3	0.69	0.00	0.66	0.01	0.68	0.0342	0.692	(A) Basal-Like 1
CXCL1	4q13.3	0.72	0.03	0.94	0.10	0.68	0.103	0.692	(A) Basal-Like 1
SMIM45	22q13.2	1.02	0.34	0.79	0.38	0.68	0.0693	0.692	(A) Basal-Like 1
HSD11B1L	19p13.3	0.87	0.19	0.61	0.39	0.68	0.0296	0.692	(A) Basal-Like 1
CLDN9	16p13.3	1.03	0.35	0.42	0.62	0.68	0.0205	0.692	(A) Basal-Like 1
EN1	2q14.2	1.68	1.00	0.39	0.84	0.68	0.0546	0.692	(A) Basal-Like 1
UCN	2p23.3	0.69	0.01	0.61	0.04	0.68	0.0265	0.692	(A) Basal-Like 1
SLC12A1	15q21.1	1.46	0.78	1.21	0.93	0.68	0.274	0.758	(A) Basal-Like 1
IL32	16p13.3	0.73	0.06	0.74	0.17	0.68	0.0524	0.692	(A) Basal-Like 1
AMER2	13q12.13	1.50	0.82	1.62	1.37	0.68	0.471	0.842	(A) Basal-Like 1
ELF3	1q32.1	0.81	0.14	0.45	0.21	0.67	6.107e-3	0.692	(A) Basal-Like 1
DAPK1	9q21.33	0.76	0.09	0.54	0.19	0.67	0.0160	0.692	(A) Basal-Like 1
SOD2	6q25.3	0.72	0.05	0.47	0.15	0.67	8.694e-3	0.692	(A) Basal-Like 1
CHIA	1p13.2	0.93	0.26	0.86	0.52	0.67	0.196	0.719	(A) Basal-Like 1
CATSPER3	5q31.1	0.74	0.07	0.57	0.17	0.67	0.0200	0.692	(A) Basal-Like 1
NXF5	Xq22.1	1.01	0.34	0.33	0.68	0.67	0.148	0.709	(A) Basal-Like 1
XCL2	1q24.2	0.68	0.01	0.69	0.04	0.67	0.0435	0.692	(A) Basal-Like 1
BARX1	9q22.32	1.55	0.89	1.21	1.01	0.67	0.272	0.758	(A) Basal-Like 1
IDO1	8p11.21	0.82	0.15	0.77	0.43	0.67	0.0697	0.692	(A) Basal-Like 1
RTP5	2q37.3	0.81	0.15	0.71	0.29	0.67	0.159	0.712	(A) Basal-Like 1
SCN2A	2q24.3	0.81	0.15	0.89	0.44	0.67	0.105	0.692	(A) Basal-Like 1
TERT	5p15.33	1.19	0.53	0.83	0.78	0.67	0.128	0.700	(A) Basal-Like 1
CCL3	17q12	0.75	0.08	0.40	0.25	0.67	3.624e-3	0.692	(A) Basal-Like 1
BECN2	1q43	0.82	0.16	0.97	0.38	0.67	0.127	0.700	(A) Basal-Like 1
VIT	2p22.2	1.13	0.47	1.25	0.78	0.67	0.247	0.749	(A) Basal-Like 1
SLC2A12	6q23.2	1.07	0.40	0.74	0.49	0.66	0.0684	0.692	(A) Basal-Like 1
KANK1	9p24.3	1.21	0.54	0.61	0.56	0.66	0.0446	0.692	(A) Basal-Like 1
CCDC177	14q24.1	1.16	0.50	1.00	0.62	0.66	0.385	0.810	(A) Basal-Like 1
PRSS21	16p13.3	1.33	0.67	1.22	1.24	0.66	0.410	0.820	(A) Basal-Like 1
CTNNA2	2p12	0.71	0.05	1.03	0.10	0.66	0.175	0.714	(A) Basal-Like 1
CKMT1B	15q15.3	1.30	0.64	0.91	0.86	0.66	0.187	0.714	(A) Basal-Like 1
FOXD4L5	9q21.11	0.74	0.07	0.63	0.19	0.66	0.0329	0.692	(A) Basal-Like 1
ARL14	3q25.33	0.67	0.01	1.05	0.03	0.66	0.231	0.740	(A) Basal-Like 1
FBXL16	16p13.3	1.13	0.47	0.93	0.59	0.66	0.134	0.701	(A) Basal-Like 1
TRIM69	15q21.1	0.66	0.00	0.60	0.01	0.66	0.0267	0.692	(A) Basal-Like 1
PLPP6	9p24.1	0.71	0.05	0.42	0.11	0.66	5.648e-3	0.692	(A) Basal-Like 1
N4BP3	5q35.3	0.77	0.11	0.49	0.25	0.66	0.0105	0.692	(A) Basal-Like 1
PSG4	19q13.31	1.20	0.54	0.55	0.94	0.66	0.397	0.816	(A) Basal-Like 1
MT1H	16q13	1.29	0.63	0.78	0.97	0.66	0.169	0.714	(A) Basal-Like 1
RCC1	1p35.3	0.85	0.19	0.45	0.33	0.66	8.478e-3	0.692	(A) Basal-Like 1
FABP5	8q21.13	1.10	0.45	0.69	0.67	0.66	0.0778	0.692	(A) Basal-Like 1
ORM2	9q32	1.31	0.65	1.21	0.91	0.66	0.289	0.767	(A) Basal-Like 1
VXN	8q13.1	2.17	1.52	0.54	1.17	0.65	0.163	0.714	(A) Basal-Like 1
ZNG1C	9q21.11	0.76	0.10	0.49	0.24	0.65	0.0110	0.692	(A) Basal-Like 1
LRRC14B	5p15.33	1.65	0.99	1.15	1.12	0.65	0.273	0.758	(A) Basal-Like 1
MYO7B	2q14.3	0.77	0.11	0.57	0.31	0.65	0.0237	0.692	(A) Basal-Like 1
GJD4	10p11.21	1.02	0.37	0.12	0.51	0.65	0.0154	0.692	(A) Basal-Like 1
PSMG3-AS1	7p22.3	0.67	0.02	0.70	0.05	0.65	0.0483	0.692	(A) Basal-Like 1
F12	5q35.3	1.12	0.47	0.54	0.66	0.65	0.0485	0.692	(A) Basal-Like 1
ENKUR	10p12.1	1.11	0.46	0.93	0.66	0.65	0.149	0.709	(A) Basal-Like 1
AKR1B15	7q33	0.85	0.20	0.75	0.53	0.65	0.110	0.692	(A) Basal-Like 1
MRPS30-DT	5p12	0.84	0.19	0.61	0.35	0.65	0.0336	0.692	(A) Basal-Like 1
MMP7	11q22.2	1.18	0.54	1.15	0.96	0.65	0.254	0.752	(A) Basal-Like 1
HS6ST3	13q32.1	0.81	0.16	0.78	0.48	0.65	0.0847	0.692	(A) Basal-Like 1
