Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
LINC01970	17q25.3	0.64	0.47	0.46	0.64	0.16	0.567	0.880	(A) Basal-Like 1
PKHD1L1	8q23.1-q23.2	0.23	0.07	0.38	0.18	0.16	0.334	0.793	(A) Basal-Like 1
KDM7A	7q34	0.36	0.20	0.49	0.29	0.16	0.458	0.836	(A) Basal-Like 1
UBE2L6	11q12.1	0.23	0.07	0.32	0.19	0.16	0.271	0.758	(A) Basal-Like 1
MT2A	16q13	0.43	0.27	0.45	0.38	0.16	0.462	0.838	(A) Basal-Like 1
RRN3	16p13.11	0.33	0.17	0.18	0.17	0.16	0.0945	0.692	(A) Basal-Like 1
DCPS	11q24.2	0.49	0.33	0.34	0.48	0.16	0.446	0.833	(A) Basal-Like 1
FANCG	9p13.3	0.51	0.35	0.49	0.37	0.16	0.485	0.850	(A) Basal-Like 1
ASCL4	12q23.3	0.29	0.13	0.24	0.23	0.16	0.528	0.866	(A) Basal-Like 1
CCNI2	5q31.1	0.69	0.53	1.20	0.76	0.16	0.763	0.941	(A) Basal-Like 1
CSNK1E	22q13.1	0.50	0.34	0.47	0.41	0.16	0.489	0.852	(A) Basal-Like 1
GJB3	1p34.3	0.75	0.59	0.82	0.73	0.16	0.689	0.921	(A) Basal-Like 1
PBDC1	Xq13.3	0.32	0.16	0.37	0.28	0.16	0.360	0.802	(A) Basal-Like 1
ZNF474	5q23.2	0.25	0.08	0.33	0.23	0.16	0.326	0.789	(A) Basal-Like 1
CIAPIN1	16q21	0.31	0.15	0.39	0.19	0.16	0.350	0.797	(A) Basal-Like 1
CAPZA1	1p13.2	0.25	0.09	0.16	0.09	0.16	0.0426	0.692	(A) Basal-Like 1
BPI	20q11.23	1.39	1.23	0.75	1.15	0.16	0.742	0.935	(A) Basal-Like 1
TMEM245	9q31.3	0.30	0.14	0.29	0.21	0.16	0.243	0.748	(A) Basal-Like 1
TMEM68	8q12.1	0.77	0.61	0.63	0.63	0.16	0.622	0.895	(A) Basal-Like 1
HLA-DPA1	6p21.32	0.21	0.05	0.34	0.15	0.16	0.276	0.759	(A) Basal-Like 1
TVP23B	17p11.2	0.35	0.19	0.28	0.46	0.16	0.403	0.818	(A) Basal-Like 1
NT5DC1	6q22.1	0.35	0.19	0.43	0.35	0.16	0.440	0.831	(A) Basal-Like 1
NLRC4	2p22.3	0.20	0.04	0.19	0.11	0.16	0.0753	0.692	(A) Basal-Like 1
TOM1	22q12.3	0.40	0.24	0.33	0.29	0.16	0.329	0.790	(A) Basal-Like 1
WBP1	2p13.1	0.33	0.17	0.32	0.20	0.16	0.272	0.758	(A) Basal-Like 1
SCAND3	6p22.1	1.13	0.97	0.85	0.89	0.16	0.728	0.931	(A) Basal-Like 1
ZBTB37	1q25.1	0.38	0.22	0.39	0.40	0.16	0.434	0.828	(A) Basal-Like 1
MAD2L1BP	6p21.1	0.36	0.20	0.37	0.30	0.16	0.366	0.803	(A) Basal-Like 1
SMTNL1	11q12.1	0.36	0.20	0.38	0.52	0.16	0.523	0.863	(A) Basal-Like 1
PAXX	9q34.3	0.53	0.37	0.61	0.47	0.16	0.578	0.883	(A) Basal-Like 1
SLC24A4	14q32.12	0.36	0.20	0.46	0.50	0.16	0.518	0.861	(A) Basal-Like 1
IMPG1	6q14.1	0.48	0.32	0.46	0.57	0.16	0.543	0.872	(A) Basal-Like 1
LINC01094	4q21.21	0.22	0.06	0.34	0.18	0.16	0.288	0.767	(A) Basal-Like 1
GEMIN2	14q21.1	0.33	0.17	0.32	0.24	0.16	0.297	0.772	(A) Basal-Like 1
TRAF3IP2	6q21	0.59	0.43	0.35	0.49	0.16	0.460	0.837	(A) Basal-Like 1
EIF3J	15q21.1	0.39	0.23	0.29	0.25	0.16	0.274	0.758	(A) Basal-Like 1
DSG2-AS1	18q12.1	0.53	0.37	0.54	0.45	0.16	0.551	0.875	(A) Basal-Like 1
RGS6	14q24.2	0.62	0.46	0.68	0.73	0.16	0.660	0.910	(A) Basal-Like 1
KIAA1191	5q35.2	0.24	0.08	0.23	0.14	0.16	0.138	0.704	(A) Basal-Like 1
ATXN7L1	7q22.3	0.46	0.30	0.41	0.37	0.16	0.438	0.830	(A) Basal-Like 1
ZSWIM7	17p12	0.35	0.19	0.31	0.31	0.16	0.327	0.789	(A) Basal-Like 1
ZNF669	1q44	0.53	0.37	0.45	0.42	0.16	0.484	0.850	(A) Basal-Like 1
PIM1	6p21.2	0.35	0.19	0.44	0.40	0.16	0.470	0.841	(A) Basal-Like 1
ITGB8	7p21.1	0.71	0.56	0.67	0.73	0.16	0.659	0.910	(A) Basal-Like 1
CRHBP	5q13.3	0.19	0.03	0.25	0.10	0.16	0.158	0.712	(A) Basal-Like 1
MTRF1	13q14.11	0.25	0.09	0.28	0.20	0.16	0.231	0.741	(A) Basal-Like 1
IPPK	9q22.31	0.33	0.18	0.35	0.18	0.16	0.303	0.775	(A) Basal-Like 1
EXOSC1	10q24.1	0.37	0.21	0.26	0.37	0.16	0.330	0.790	(A) Basal-Like 1
FMO3	1q24.3	0.24	0.08	0.36	0.25	0.16	0.341	0.797	(A) Basal-Like 1
RPUSD1	16p13.3	0.69	0.53	0.43	0.46	0.16	0.488	0.851	(A) Basal-Like 1
GDPD3	16p11.2	0.34	0.19	0.63	0.34	0.16	0.564	0.879	(A) Basal-Like 1
STEAP3	2q14.2	0.76	0.60	0.48	0.59	0.16	0.565	0.879	(A) Basal-Like 1
LCMT1	16p12.1	0.28	0.12	0.22	0.24	0.16	0.192	0.718	(A) Basal-Like 1
THRB-AS2	3p24.2	0.44	0.29	0.03	0.33	0.16	0.409	0.820	(A) Basal-Like 1
BRSK2	11p15.5	0.95	0.79	0.97	0.68	0.16	0.720	0.929	(A) Basal-Like 1
MLIP-IT1	6p12.1	0.44	0.28	0.53	0.39	0.16	0.728	0.931	(A) Basal-Like 1
RESF1	12p11.21	0.24	0.08	0.34	0.16	0.16	0.289	0.767	(A) Basal-Like 1
SMG7-AS1	1q25.3	0.42	0.26	0.53	0.44	0.16	0.534	0.869	(A) Basal-Like 1
PPM1H	12q14.1-q14.2	0.55	0.40	0.54	0.70	0.16	0.617	0.894	(A) Basal-Like 1
ZFP69B	1p34.2	0.46	0.30	0.36	0.38	0.16	0.407	0.819	(A) Basal-Like 1
SLC34A3	9q34.3	0.46	0.30	0.72	0.42	0.16	0.644	0.905	(A) Basal-Like 1
SLC35F3	1q42.2	0.89	0.73	1.06	0.96	0.16	0.762	0.941	(A) Basal-Like 1
NDST3	4q26	0.43	0.28	0.57	0.50	0.16	0.572	0.882	(A) Basal-Like 1
TSEN2	3p25.2	0.55	0.39	0.49	0.48	0.16	0.532	0.868	(A) Basal-Like 1
FBXO28	1q42.11	0.48	0.32	0.28	0.44	0.16	0.397	0.816	(A) Basal-Like 1
TANGO2	22q11.21	0.20	0.04	0.15	0.11	0.16	0.0392	0.692	(A) Basal-Like 1
H2AC13	6p22.1	0.61	0.45	0.56	0.54	0.16	0.591	0.887	(A) Basal-Like 1
TRABD	22q13.33	0.46	0.30	0.44	0.45	0.16	0.493	0.853	(A) Basal-Like 1
WASHC2A	10q11.23	0.35	0.20	0.69	0.30	0.16	0.589	0.886	(A) Basal-Like 1
PJVK	2q31.2	0.48	0.33	0.44	0.32	0.16	0.444	0.832	(A) Basal-Like 1
HS3ST1	4p15.33	0.37	0.22	0.44	0.37	0.16	0.464	0.839	(A) Basal-Like 1
CHTF8	16q22.1	0.18	0.02	0.26	0.07	0.16	0.168	0.714	(A) Basal-Like 1
FAM110C	2p25.3	0.44	0.28	0.57	0.58	0.16	0.596	0.888	(A) Basal-Like 1
TTLL9	20q11	0.38	0.22	0.54	0.34	0.16	0.517	0.861	(A) Basal-Like 1
PDCD2	6q27	0.38	0.23	0.44	0.35	0.16	0.455	0.835	(A) Basal-Like 1
UBE2K	4p14	0.35	0.19	0.21	0.35	0.16	0.290	0.767	(A) Basal-Like 1
LRRC26	9q34.3	0.61	0.45	0.92	0.91	0.16	0.767	0.943	(A) Basal-Like 1
ENO4	10q25.3	0.30	0.15	0.30	0.19	0.16	0.259	0.755	(A) Basal-Like 1
BAZ1A	14q13.1-q13.2	0.23	0.07	0.27	0.19	0.16	0.222	0.736	(A) Basal-Like 1
HCST	19q13.12	0.26	0.10	0.43	0.21	0.16	0.402	0.818	(A) Basal-Like 1
MT1E	16q13	0.66	0.50	0.82	0.74	0.16	0.699	0.924	(A) Basal-Like 1
LCN10	9q34.3	0.33	0.18	0.54	0.53	0.16	0.591	0.887	(A) Basal-Like 1
LINC01637	22q11.21	0.54	0.39	0.50	0.46	0.16	0.533	0.868	(A) Basal-Like 1
GPR35	2q37.3	0.59	0.43	0.59	0.51	0.16	0.585	0.884	(A) Basal-Like 1
PMM2	16p13.2	0.43	0.27	0.31	0.29	0.16	0.316	0.783	(A) Basal-Like 1
QRICH2	17q25.1	1.00	0.85	0.63	0.77	0.16	0.662	0.911	(A) Basal-Like 1
UBIAD1	1p36.22	0.23	0.07	0.39	0.19	0.16	0.360	0.801	(A) Basal-Like 1
SURF4	9q34.2	0.42	0.26	0.33	0.29	0.16	0.342	0.797	(A) Basal-Like 1
TM4SF1-AS1	3q25.1	0.67	0.51	0.69	0.55	0.16	0.637	0.902	(A) Basal-Like 1
SLC7A6	16q22.1	0.18	0.02	0.24	0.05	0.16	0.135	0.701	(A) Basal-Like 1
SMC6	2p24.2	0.41	0.26	0.31	0.32	0.16	0.339	0.796	(A) Basal-Like 1
TREX1	3p21.31	0.35	0.19	0.31	0.39	0.16	0.384	0.810	(A) Basal-Like 1
WIPI2	7p22.1	0.37	0.21	0.40	0.27	0.16	0.397	0.816	(A) Basal-Like 1
STARD5	15q25.1	0.19	0.03	0.21	0.10	0.16	0.102	0.692	(A) Basal-Like 1
METRN	16p13.3	0.85	0.69	0.75	0.69	0.16	0.675	0.916	(A) Basal-Like 1
CD8B	2p11.2	0.52	0.36	0.60	0.92	0.16	0.687	0.920	(A) Basal-Like 1
PKNOX1	21q22.3	0.28	0.12	0.24	0.24	0.16	0.220	0.734	(A) Basal-Like 1
ODAD2P1	10p12.1	0.96	0.81	1.21	0.85	0.16	0.791	0.949	(A) Basal-Like 1
TEKT4P2	21p11.2	0.26	0.10	0.25	0.17	0.16	0.190	0.717	(A) Basal-Like 1
TMEM219	16p11.2	0.29	0.13	0.25	0.24	0.16	0.223	0.736	(A) Basal-Like 1
GIMAP7	7q36.1	0.23	0.07	0.39	0.16	0.16	0.346	0.797	(A) Basal-Like 1
CHURC1-FNTB	14q23.3	0.53	0.38	0.41	0.43	0.16	0.485	0.850	(A) Basal-Like 1
KARS1	16q23.1	0.41	0.25	0.37	0.35	0.16	0.402	0.818	(A) Basal-Like 1
POC5	5q13.3	0.25	0.09	0.32	0.21	0.16	0.293	0.769	(A) Basal-Like 1
IFNAR2	21q22.11	0.23	0.08	0.32	0.15	0.16	0.265	0.756	(A) Basal-Like 1
FAM8A1	6p22.3	0.40	0.24	0.43	0.28	0.16	0.420	0.823	(A) Basal-Like 1
CDC123	10p14-p13	0.55	0.40	0.33	0.48	0.16	0.455	0.835	(A) Basal-Like 1
GGA2	16p12.2	0.21	0.05	0.29	0.09	0.16	0.211	0.727	(A) Basal-Like 1
RPL3	22q13.1	0.38	0.22	0.39	0.37	0.16	0.432	0.827	(A) Basal-Like 1
DNAJB9	7q31.1	0.33	0.17	0.43	0.29	0.16	0.429	0.826	(A) Basal-Like 1
INTS14	15q22.31	0.33	0.17	0.16	0.21	0.16	0.116	0.693	(A) Basal-Like 1
DHRS9	2q31.1	0.20	0.05	0.45	0.13	0.16	0.403	0.818	(A) Basal-Like 1
OPHN1	Xq12	0.43	0.27	0.42	0.30	0.16	0.422	0.823	(A) Basal-Like 1
LRRC56	11p15.5	0.30	0.15	0.44	0.26	0.16	0.430	0.826	(A) Basal-Like 1
PLEKHA2	8p11.22	0.16	0.01	0.34	0.03	0.16	0.271	0.758	(A) Basal-Like 1
BIVM	13q33.1	0.37	0.22	0.48	0.41	0.16	0.504	0.856	(A) Basal-Like 1
SUPT20H	13q13.3	0.26	0.10	0.36	0.18	0.16	0.328	0.789	(A) Basal-Like 1
STRAP	12p12.3	0.59	0.43	0.49	0.53	0.16	0.555	0.877	(A) Basal-Like 1
SEPTIN4-AS1	17q22	0.41	0.26	0.48	0.38	0.16	0.561	0.878	(A) Basal-Like 1
ACSF2	17q21.33	0.21	0.05	0.37	0.16	0.16	0.331	0.791	(A) Basal-Like 1
ENTPD3-AS1	3p22.1	0.38	0.22	0.41	0.28	0.16	0.410	0.820	(A) Basal-Like 1
TMEM87B	2q13	0.21	0.06	0.31	0.17	0.16	0.264	0.756	(A) Basal-Like 1
TIGD6	5q32	0.34	0.18	0.37	0.36	0.16	0.417	0.822	(A) Basal-Like 1
WWP1	8q21.3	0.42	0.26	0.24	0.40	0.16	0.353	0.799	(A) Basal-Like 1
SLC9D1	13q34	0.41	0.26	0.50	0.40	0.16	0.516	0.861	(A) Basal-Like 1
SLC5A4	22q12.3	0.47	0.32	0.78	0.48	0.16	0.654	0.908	(A) Basal-Like 1
ESS2	22q11.21	0.40	0.24	0.30	0.38	0.16	0.375	0.806	(A) Basal-Like 1
CD52	1p36.11	0.27	0.12	0.48	0.23	0.16	0.455	0.835	(A) Basal-Like 1
UBE2Q1	1q21.3	0.47	0.31	0.40	0.32	0.16	0.414	0.821	(A) Basal-Like 1
BBC3	19q13.32	0.16	0.01	0.16	0.03	0.16	0.0458	0.692	(A) Basal-Like 1
POLR1H	6p22.1	0.33	0.18	0.25	0.28	0.16	0.258	0.754	(A) Basal-Like 1
FCN1	9q34.3	0.40	0.25	0.66	0.50	0.16	0.615	0.893	(A) Basal-Like 1
ART4	12p12.3	0.48	0.32	0.83	0.68	0.16	0.708	0.926	(A) Basal-Like 1
SLC25A28	10q24.2	0.33	0.17	0.30	0.31	0.16	0.325	0.788	(A) Basal-Like 1
CLPS	6p21.31	0.69	0.53	0.44	0.76	0.16	0.678	0.917	(A) Basal-Like 1
CDHR3	7q22.3	0.64	0.49	0.72	0.55	0.16	0.645	0.906	(A) Basal-Like 1
WASL	7q31.32	0.38	0.22	0.47	0.17	0.16	0.433	0.827	(A) Basal-Like 1
AP1AR	4q25	0.38	0.22	0.44	0.31	0.15	0.447	0.833	(A) Basal-Like 1
TRMT2A	22q11.21	0.42	0.27	0.37	0.33	0.15	0.401	0.817	(A) Basal-Like 1
AGPS	2q31.2	0.26	0.10	0.44	0.18	0.15	0.409	0.820	(A) Basal-Like 1
MTCL3	6q22.33	0.55	0.40	0.94	0.54	0.15	0.707	0.926	(A) Basal-Like 1
KCNK1	1q42.2	0.60	0.45	0.61	0.55	0.15	0.608	0.891	(A) Basal-Like 1
TRMO	9q22.33	0.31	0.15	0.22	0.25	0.15	0.210	0.726	(A) Basal-Like 1
ZMIZ1-AS1	10q22.3	0.46	0.30	0.54	0.54	0.15	0.579	0.883	(A) Basal-Like 1
CHD1L	1q21.1	0.54	0.39	0.31	0.43	0.15	0.415	0.821	(A) Basal-Like 1
SNRK-AS1	3p22.1	0.58	0.43	0.52	0.55	0.15	0.577	0.883	(A) Basal-Like 1
INTS12	4q24	0.26	0.10	0.28	0.20	0.15	0.237	0.743	(A) Basal-Like 1
MCUR1	6p23	0.53	0.37	0.40	0.36	0.15	0.442	0.831	(A) Basal-Like 1
SMIM20	4p15.2	0.29	0.13	0.39	0.22	0.15	0.371	0.805	(A) Basal-Like 1
UBL7-DT	15q24.1	0.21	0.05	0.27	0.11	0.15	0.192	0.718	(A) Basal-Like 1
PNRC1	6q15	0.27	0.11	0.26	0.26	0.15	0.262	0.756	(A) Basal-Like 1
LSM11	5q33.3	0.25	0.09	0.24	0.27	0.15	0.253	0.752	(A) Basal-Like 1
CYCS	7p15.3	0.49	0.34	0.48	0.36	0.15	0.491	0.853	(A) Basal-Like 1
HLA-DPB1	6p21.32	0.19	0.04	0.35	0.11	0.15	0.297	0.772	(A) Basal-Like 1
TBC1D30	12q14.3	0.52	0.36	0.66	0.41	0.15	0.598	0.889	(A) Basal-Like 1
AK5	1p31.1	0.63	0.48	0.98	0.66	0.15	0.729	0.932	(A) Basal-Like 1
LINC01719	1q21.1	0.45	0.29	0.51	0.57	0.15	0.578	0.883	(A) Basal-Like 1
ACD	16q22.1	0.34	0.19	0.40	0.40	0.15	0.455	0.835	(A) Basal-Like 1
LINC00869	1q21.2	0.15	0.00	0.33	0.00	0.15	0.263	0.756	(A) Basal-Like 1
ETNK2	1q32.1	0.45	0.29	0.59	0.47	0.15	0.580	0.883	(A) Basal-Like 1
LINC00853	1p33	0.33	0.18	0.35	0.38	0.15	0.440	0.831	(A) Basal-Like 1
C10ORF95-AS1	10q24.32	0.55	0.40	0.43	0.52	0.15	0.526	0.865	(A) Basal-Like 1
CLDN1	3q28	0.69	0.54	0.91	0.89	0.15	0.741	0.935	(A) Basal-Like 1
CHCHD6	3q21.3	0.47	0.32	0.35	0.37	0.15	0.410	0.820	(A) Basal-Like 1
CCDC71L	7q22.3	0.44	0.29	0.55	0.41	0.15	0.550	0.875	(A) Basal-Like 1
MED31	17p13.1	0.22	0.07	0.22	0.12	0.15	0.133	0.701	(A) Basal-Like 1
LY75-CD302	2q24.2	0.25	0.09	0.43	0.16	0.15	0.464	0.839	(A) Basal-Like 1
B3GALT5	21q22.2	0.41	0.26	0.60	0.40	0.15	0.569	0.881	(A) Basal-Like 1
DDHD2	8p11.23	0.61	0.46	0.61	0.49	0.15	0.598	0.888	(A) Basal-Like 1
ABRACL	6q24.1	0.51	0.36	0.51	0.49	0.15	0.551	0.875	(A) Basal-Like 1
COA5	2q11.2	0.40	0.25	0.33	0.20	0.15	0.300	0.773	(A) Basal-Like 1
DTX3L	3q21.1	0.23	0.07	0.35	0.15	0.15	0.308	0.779	(A) Basal-Like 1
DYNC2LI1	2p21	0.29	0.13	0.32	0.20	0.15	0.290	0.768	(A) Basal-Like 1
RAPGEF5	7p15.3	0.49	0.34	0.63	0.39	0.15	0.586	0.885	(A) Basal-Like 1
DCAF6	1q24.2	0.60	0.45	0.36	0.52	0.15	0.498	0.854	(A) Basal-Like 1
BRWD1-AS1	21q22.2	0.47	0.32	0.31	0.43	0.15	0.422	0.823	(A) Basal-Like 1
SLC4A1AP	2p23.3	0.30	0.15	0.24	0.17	0.15	0.182	0.714	(A) Basal-Like 1
BLMH	17q11.2	0.42	0.26	0.33	0.34	0.15	0.379	0.807	(A) Basal-Like 1
TM9SF3	10q24.1	0.38	0.22	0.37	0.30	0.15	0.393	0.813	(A) Basal-Like 1
SYCE2	19p13.13	0.31	0.16	0.31	0.24	0.15	0.310	0.780	(A) Basal-Like 1
CCDC88B	11q13.1	0.17	0.02	0.30	0.06	0.15	0.226	0.738	(A) Basal-Like 1
OSMR-DT	5p13.1	0.34	0.18	0.68	0.38	0.15	0.698	0.924	(A) Basal-Like 1
TDRD6	6p12.3	0.34	0.18	0.43	0.34	0.15	0.459	0.837	(A) Basal-Like 1
ERC2	3p14.3	0.71	0.55	0.60	0.83	0.15	0.677	0.916	(A) Basal-Like 1
LINC00885	3q29	0.72	0.56	0.56	0.63	0.15	0.616	0.893	(A) Basal-Like 1
ZDHHC22	14q24.3	0.24	0.09	0.34	0.19	0.15	0.642	0.904	(A) Basal-Like 1
CYLD	16q12.1	0.22	0.07	0.30	0.13	0.15	0.243	0.748	(A) Basal-Like 1
MRI1	19p13.13	0.32	0.16	0.52	0.27	0.15	0.496	0.854	(A) Basal-Like 1
PSMD11	17q11.2	0.38	0.23	0.36	0.27	0.15	0.375	0.806	(A) Basal-Like 1
ATAD2	8q24.13	0.74	0.58	0.27	0.48	0.15	0.435	0.829	(A) Basal-Like 1
SMURF2	17q23.3-q24.1	0.32	0.17	0.28	0.29	0.15	0.304	0.776	(A) Basal-Like 1
LIPH	3q27.2	0.43	0.27	0.50	0.58	0.15	0.582	0.883	(A) Basal-Like 1
SPEG	2q35	0.96	0.81	0.50	0.81	0.15	0.652	0.908	(A) Basal-Like 1
CCL3L3	17q12	0.33	0.17	0.49	0.35	0.15	0.543	0.872	(A) Basal-Like 1
MKRN1	7q34	0.53	0.38	0.53	0.38	0.15	0.534	0.869	(A) Basal-Like 1
HERPUD2	7p14.2	0.19	0.04	0.27	0.07	0.15	0.192	0.718	(A) Basal-Like 1
HMGB1	13q12.3	0.27	0.12	0.41	0.14	0.15	0.377	0.806	(A) Basal-Like 1
BRIP1	17q23.2	0.58	0.42	0.35	0.43	0.15	0.446	0.833	(A) Basal-Like 1
LYPLA1	8q11.23	0.66	0.51	0.55	0.53	0.15	0.586	0.885	(A) Basal-Like 1
CTSB	8p23.1	0.18	0.02	0.24	0.07	0.15	0.144	0.706	(A) Basal-Like 1
PLSCR2	3q24	0.48	0.33	0.55	0.51	0.15	0.620	0.894	(A) Basal-Like 1
CLEC4F	2p13.3	1.03	0.88	1.22	0.61	0.15	0.770	0.944	(A) Basal-Like 1
S1PR4	19p13.3	0.22	0.07	0.38	0.16	0.15	0.357	0.799	(A) Basal-Like 1
PSENEN	19q13.12	0.53	0.38	0.41	0.33	0.15	0.436	0.829	(A) Basal-Like 1
LYPD3	19q13.31	0.47	0.32	0.60	0.50	0.15	0.598	0.888	(A) Basal-Like 1
TMEM265	16p11.2	0.47	0.31	0.39	0.44	0.15	0.477	0.845	(A) Basal-Like 1
NCOA2	8q13.3	0.70	0.55	0.53	0.55	0.15	0.587	0.886	(A) Basal-Like 1
AEBP2	12p12.3	0.38	0.23	0.37	0.32	0.15	0.410	0.820	(A) Basal-Like 1
HLA-DMB	6p21.32	0.18	0.03	0.31	0.09	0.15	0.250	0.750	(A) Basal-Like 1
BRAT1	7p22.3	0.36	0.21	0.48	0.25	0.15	0.467	0.840	(A) Basal-Like 1
TTC13	1q42.2	0.50	0.34	0.42	0.38	0.15	0.468	0.841	(A) Basal-Like 1
ALPK1	4q25	0.29	0.14	0.36	0.26	0.15	0.366	0.803	(A) Basal-Like 1
SLC25A11	17p13.2	0.24	0.09	0.31	0.14	0.15	0.260	0.756	(A) Basal-Like 1
E2F4	16q22.1	0.24	0.09	0.31	0.13	0.15	0.261	0.756	(A) Basal-Like 1
SNHG29	17p11.2	0.48	0.32	0.48	0.40	0.15	0.513	0.860	(A) Basal-Like 1
ARMC6	19p13.11	0.47	0.32	0.54	0.38	0.15	0.543	0.872	(A) Basal-Like 1
ATAD1	10q23.31	0.33	0.18	0.30	0.23	0.15	0.289	0.767	(A) Basal-Like 1
MRPL18	6q25.3	0.49	0.34	0.38	0.49	0.15	0.497	0.854	(A) Basal-Like 1
DOCK8	9p24.3	0.19	0.04	0.32	0.11	0.15	0.271	0.758	(A) Basal-Like 1
SCARNA7	3q25.22	0.44	0.29	0.62	0.43	0.15	0.595	0.887	(A) Basal-Like 1
RIOX2	3q11.2	0.38	0.23	0.42	0.32	0.15	0.442	0.832	(A) Basal-Like 1
GPM6A	4q34.2	0.60	0.44	0.69	1.01	0.15	0.762	0.941	(A) Basal-Like 1
PLSCR1	3q24	0.37	0.22	0.35	0.45	0.15	0.459	0.837	(A) Basal-Like 1
PEX26	22q11.21	0.51	0.36	0.34	0.35	0.15	0.398	0.816	(A) Basal-Like 1
CBLN3	14q12	0.23	0.08	0.31	0.15	0.15	0.265	0.756	(A) Basal-Like 1
C22ORF23	22q13.1	0.53	0.38	0.48	0.57	0.15	0.575	0.883	(A) Basal-Like 1
JAK3	19p13.11	0.21	0.06	0.36	0.18	0.15	0.345	0.797	(A) Basal-Like 1
CD101	1p13.1	0.31	0.16	0.41	0.36	0.15	0.460	0.837	(A) Basal-Like 1
RARS2	6q15	0.39	0.24	0.43	0.44	0.15	0.501	0.855	(A) Basal-Like 1
STAC3	12q13.3	0.21	0.06	0.16	0.16	0.15	0.0869	0.692	(A) Basal-Like 1
RAET1G	6q25.1	0.78	0.63	0.75	0.76	0.15	0.727	0.931	(A) Basal-Like 1
DERL2	17p13.2	0.21	0.06	0.28	0.10	0.15	0.218	0.733	(A) Basal-Like 1
LNP1	3q12.2	0.52	0.37	0.46	0.41	0.15	0.512	0.859	(A) Basal-Like 1
BEST3	12q15	0.32	0.17	0.48	0.44	0.15	0.597	0.888	(A) Basal-Like 1
GOLGA7B	10q24.2	0.33	0.18	0.57	0.33	0.15	0.549	0.874	(A) Basal-Like 1
SLEAR	8q22.3	0.51	0.36	0.60	0.60	0.15	0.676	0.916	(A) Basal-Like 1
PADI4	1p36.13	0.25	0.10	0.37	0.20	0.15	0.432	0.827	(A) Basal-Like 1
KRT19	17q21.2	0.32	0.17	0.43	0.27	0.15	0.434	0.828	(A) Basal-Like 1
BUB1B	15q15.1	0.63	0.48	0.33	0.56	0.15	0.519	0.861	(A) Basal-Like 1
CBX3P2	18p11.32	0.51	0.36	0.72	0.37	0.15	0.630	0.899	(A) Basal-Like 1
LONRF2	2q11.2	0.71	0.56	1.06	0.74	0.15	0.756	0.939	(A) Basal-Like 1
ERVW-1	7q21.2	0.40	0.25	0.43	0.58	0.15	0.560	0.877	(A) Basal-Like 1
TNPO3	7q32.1	0.51	0.36	0.57	0.34	0.15	0.552	0.876	(A) Basal-Like 1
COX6C	8q22.2	0.70	0.55	0.50	0.69	0.15	0.623	0.896	(A) Basal-Like 1
CLTCL1	22q11.21	0.42	0.27	0.49	0.51	0.15	0.559	0.877	(A) Basal-Like 1
TEKT3	17p12	0.75	0.60	0.98	0.75	0.15	0.744	0.936	(A) Basal-Like 1
ACR	22q13.33	0.63	0.48	0.71	0.71	0.15	0.703	0.925	(A) Basal-Like 1
USP3	15q22.31	0.22	0.07	0.23	0.20	0.15	0.196	0.719	(A) Basal-Like 1
LRRC18	10q11.23	0.30	0.15	0.45	0.38	0.15	0.570	0.881	(A) Basal-Like 1
MIR9-3HG	15q26.1	0.33	0.18	0.58	0.43	0.15	0.580	0.883	(A) Basal-Like 1
SLMAP	3p14.3	0.35	0.20	0.38	0.28	0.15	0.404	0.819	(A) Basal-Like 1
XPO1	2p15	0.35	0.20	0.22	0.25	0.15	0.229	0.740	(A) Basal-Like 1
RAD51AP1	12p13.32	0.64	0.49	0.58	0.59	0.15	0.621	0.895	(A) Basal-Like 1
TAF1B	2p25.1	0.32	0.17	0.30	0.21	0.15	0.289	0.767	(A) Basal-Like 1
TNIP2	4p16.3	0.31	0.16	0.39	0.25	0.15	0.397	0.816	(A) Basal-Like 1
MGMT	10q26.3	0.49	0.34	0.52	0.50	0.15	0.572	0.881	(A) Basal-Like 1
FAHD1	16p13.3	0.37	0.22	0.34	0.34	0.15	0.401	0.818	(A) Basal-Like 1
SLC7A6OS	16q22.1	0.17	0.02	0.27	0.06	0.15	0.197	0.720	(A) Basal-Like 1
RNF170	8p11.21	0.52	0.38	0.54	0.46	0.15	0.570	0.881	(A) Basal-Like 1
MAPKAP1	9q33.3	0.33	0.18	0.41	0.23	0.15	0.408	0.820	(A) Basal-Like 1
TADA2A	17q12	0.30	0.15	0.28	0.30	0.15	0.327	0.789	(A) Basal-Like 1
ANKRD1	10q23.31	0.84	0.70	0.99	0.97	0.15	0.779	0.946	(A) Basal-Like 1
P2RY4	Xq13.1	0.31	0.16	0.62	0.25	0.15	0.604	0.890	(A) Basal-Like 1
LSM2	6p21.33	0.39	0.24	0.40	0.19	0.15	0.386	0.811	(A) Basal-Like 1
SLC1A3	5p13.2	0.22	0.08	0.29	0.23	0.15	0.292	0.768	(A) Basal-Like 1
BMP6	6p24.3	0.66	0.51	0.94	0.87	0.15	0.751	0.938	(A) Basal-Like 1
KIF2C	1p34.1	0.50	0.35	0.38	0.46	0.15	0.491	0.852	(A) Basal-Like 1
