Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
MAT2B	5q34	0.66	0.02	0.32	0.04	0.64	6.781e-4	0.0467	(A) Immunomodulatory
STAMBPL1	10q23.31	0.82	0.05	0.40	0.14	0.77	6.882e-4	0.0469	(A) Immunomodulatory
IRF8	16q24.1	0.99	0.06	0.48	0.13	0.93	6.885e-4	0.0469	(A) Immunomodulatory
NFKBIA	14q13.2	0.86	0.08	0.41	0.20	0.78	6.953e-4	0.0469	(A) Immunomodulatory
IRF4	6p25.3	1.36	0.09	0.65	0.18	1.28	6.992e-4	0.0469	(A) Immunomodulatory
PRF1	10q22.1	1.19	0.04	0.58	0.12	1.15	6.999e-4	0.0469	(A) Immunomodulatory
SLC2A5	1p36.23	0.83	0.10	0.39	0.23	0.73	7.074e-4	0.0469	(A) Immunomodulatory
NDUFAF5	20p12.1	0.12	0.65	0.17	0.31	-0.53	7.088e-4	0.0469	(B) Mesenchymal
IL32	16p13.3	1.01	0.06	0.50	0.17	0.96	7.164e-4	0.0469	(A) Immunomodulatory
IGBP1	Xq13.1	0.52	0.02	0.25	0.04	0.50	7.221e-4	0.0469	(A) Immunomodulatory
SAMSN1	21q11.2	0.95	0.02	0.46	0.07	0.93	7.225e-4	0.0469	(A) Immunomodulatory
GZMH	14q12	1.33	0.08	0.65	0.25	1.24	7.244e-4	0.0469	(A) Immunomodulatory
HLA-DRA	6p21.32	0.89	0.05	0.44	0.14	0.85	7.255e-4	0.0469	(A) Immunomodulatory
ST6GAL1	3q27.3	0.94	0.08	0.45	0.19	0.86	7.258e-4	0.0469	(A) Immunomodulatory
AHNAK2	14q32.33	0.09	1.29	0.24	0.71	-1.20	7.266e-4	0.0469	(B) Mesenchymal
BTN2A2	6p22.2	0.81	0.06	0.40	0.18	0.75	7.277e-4	0.0469	(A) Immunomodulatory
BFSP2	3q22.1	1.34	0.18	0.45	0.40	1.16	7.287e-4	0.0469	(A) Immunomodulatory
TARP	7p14.1	1.11	0.06	0.55	0.18	1.05	7.292e-4	0.0469	(A) Immunomodulatory
IDO1	8p11.21	1.41	0.15	0.67	0.43	1.26	7.327e-4	0.0469	(A) Immunomodulatory
TNFRSF13C	22q13.2	0.85	0.08	0.41	0.16	0.77	7.470e-4	0.0476	(A) Immunomodulatory
ECE1-AS1	1p36.12	0.59	0.03	0.29	0.08	0.57	7.498e-4	0.0477	(A) Immunomodulatory
CPNE5	6p21.2	1.24	0.08	0.60	0.16	1.16	7.577e-4	0.0479	(A) Immunomodulatory
FCER1G	1q23.3	0.72	0.06	0.36	0.17	0.67	7.582e-4	0.0479	(A) Immunomodulatory
GAPT	5q11.2	0.94	0.03	0.46	0.09	0.90	7.623e-4	0.0480	(A) Immunomodulatory
GPR174	Xq21.1	1.22	0.00	0.61	0.01	1.21	7.705e-4	0.0480	(A) Immunomodulatory
JAKMIP1	4p16.1	1.11	0.04	0.55	0.11	1.08	7.716e-4	0.0480	(A) Immunomodulatory
ABCB1	7q21.12	1.06	0.24	0.33	0.46	0.82	7.717e-4	0.0480	(A) Immunomodulatory
XCL1	1q24.2	1.04	0.14	0.49	0.28	0.90	7.747e-4	0.0480	(A) Immunomodulatory
CYSLTR1	Xq21.1	1.06	0.00	0.53	0.01	1.06	7.788e-4	0.0481	(A) Immunomodulatory
GCSAM	3q13.2	0.81	0.12	0.31	0.37	0.69	7.879e-4	0.0483	(A) Immunomodulatory
PKHD1L1	8q23.1-q23.2	1.22	0.07	0.61	0.18	1.15	7.971e-4	0.0486	(A) Immunomodulatory
CCR5	3p21.31	1.10	0.01	0.55	0.02	1.10	7.998e-4	0.0486	(A) Immunomodulatory
PSTPIP1	15q24.3	0.99	0.10	0.48	0.20	0.89	8.028e-4	0.0487	(A) Immunomodulatory
GCH1	14q22.2	0.79	0.00	0.40	0.01	0.78	8.105e-4	0.0488	(A) Immunomodulatory
GBP4	1p22.2	1.16	0.09	0.57	0.20	1.07	8.549e-4	0.0512	(A) Immunomodulatory
LINC01123	2q13	0.05	0.81	0.15	0.46	-0.76	8.602e-4	0.0513	(B) Mesenchymal
PTGDS	9q34.3	1.19	0.03	0.60	0.10	1.16	8.667e-4	0.0514	(A) Immunomodulatory
GPA33	1q24.1	1.04	0.03	0.53	0.10	1.01	8.808e-4	0.0518	(A) Immunomodulatory
SRGN	10q22.1	0.98	0.02	0.50	0.06	0.96	8.818e-4	0.0518	(A) Immunomodulatory
ZNF233	19q13.31	0.01	0.78	0.03	0.45	-0.77	8.895e-4	0.0520	(B) Mesenchymal
CARD16	11q22.3	0.97	0.09	0.47	0.13	0.89	8.903e-4	0.0520	(A) Immunomodulatory
SPNS3	17p13.2	0.98	0.22	0.40	0.34	0.76	8.970e-4	0.0523	(A) Immunomodulatory
FAM177B	1q41	0.92	0.05	0.46	0.12	0.86	9.052e-4	0.0526	(A) Immunomodulatory
CGAS	6q13	0.73	0.07	0.36	0.21	0.66	9.128e-4	0.0529	(A) Immunomodulatory
SAMD3	6q23.1	1.01	0.02	0.52	0.05	0.99	9.233e-4	0.0531	(A) Immunomodulatory
GRAP	17p11.2	0.66	0.12	0.30	0.18	0.54	9.250e-4	0.0531	(A) Immunomodulatory
FOXCUT	6p25.3	0.23	1.46	0.47	0.72	-1.22	9.251e-4	0.0531	(B) Mesenchymal
CDC42BPG	11q13.1	0.09	0.84	0.24	0.45	-0.75	9.280e-4	0.0531	(B) Mesenchymal
LRFN4	11q13.2	0.06	0.66	0.17	0.37	-0.60	9.457e-4	0.0535	(B) Mesenchymal
ITGAL	16p11.2	1.13	0.04	0.58	0.13	1.09	9.633e-4	0.0543	(A) Immunomodulatory
HERC5	4q22.1	1.15	0.17	0.54	0.35	0.98	9.752e-4	0.0547	(A) Immunomodulatory
LINC01684	21q21.2	0.86	0.10	0.42	0.29	0.77	9.903e-4	0.0552	(A) Immunomodulatory
BATF	14q24.3	0.95	0.04	0.49	0.12	0.91	9.983e-4	0.0555	(A) Immunomodulatory
CSF2RA	Xp22.32 and Yp11.3	0.83	0.01	0.43	0.04	0.82	1.016e-3	0.0563	(A) Immunomodulatory
LYZ	12q15	1.17	0.03	0.61	0.09	1.14	1.026e-3	0.0566	(A) Immunomodulatory
LRRN2	1q32.1	0.09	1.06	0.17	0.60	-0.97	1.029e-3	0.0566	(B) Mesenchymal
CHRM3-AS2	1q43	1.05	0.18	0.47	0.25	0.86	1.041e-3	0.0569	(A) Immunomodulatory
PPP3CC	8p21.3	0.74	0.14	0.34	0.21	0.60	1.065e-3	0.0579	(A) Immunomodulatory
CA13	8q21.2	0.14	0.97	0.36	0.48	-0.83	1.065e-3	0.0579	(B) Mesenchymal
ZNF683	1p36.11	1.13	0.01	0.60	0.02	1.13	1.081e-3	0.0586	(A) Immunomodulatory
PDE6G	17q25.3	0.87	0.06	0.45	0.19	0.80	1.087e-3	0.0588	(A) Immunomodulatory
MS4A4A	11q12.2	0.70	0.04	0.37	0.12	0.66	1.102e-3	0.0593	(A) Immunomodulatory
GRAP2	22q13.1	1.08	0.03	0.57	0.10	1.05	1.114e-3	0.0597	(A) Immunomodulatory
GNLY	2p11.2	1.37	0.16	0.68	0.27	1.21	1.126e-3	0.0602	(A) Immunomodulatory
SKAP1	17q21.32	0.97	0.09	0.50	0.19	0.88	1.129e-3	0.0602	(A) Immunomodulatory
PLEK	2p14	0.97	0.03	0.51	0.08	0.94	1.136e-3	0.0604	(A) Immunomodulatory
CCL8	17q12	1.30	0.20	0.61	0.46	1.10	1.147e-3	0.0608	(A) Immunomodulatory
TMC8	17q25.3	0.98	0.05	0.52	0.14	0.93	1.157e-3	0.0612	(A) Immunomodulatory
DUSP5	10q25.2	0.81	0.05	0.42	0.12	0.76	1.163e-3	0.0614	(A) Immunomodulatory
SMO	7q32.1	0.23	1.20	0.43	0.56	-0.96	1.173e-3	0.0615	(B) Mesenchymal
BTK	Xq22.1	0.90	0.02	0.48	0.07	0.88	1.179e-3	0.0617	(A) Immunomodulatory
IL2RA	10p15.1	0.97	0.03	0.51	0.06	0.94	1.198e-3	0.0623	(A) Immunomodulatory
MRPS31	13q14.11	0.47	0.02	0.25	0.05	0.46	1.199e-3	0.0623	(A) Immunomodulatory
HCLS1	3q13.33	0.81	0.03	0.43	0.10	0.78	1.209e-3	0.0626	(A) Immunomodulatory
TASL	Xp21.2	1.05	0.07	0.55	0.14	0.99	1.212e-3	0.0626	(A) Immunomodulatory
BTN3A3	6p22.2	0.82	0.01	0.44	0.03	0.81	1.215e-3	0.0626	(A) Immunomodulatory
NLRC5	16q13	0.81	0.00	0.44	0.01	0.80	1.231e-3	0.0631	(A) Immunomodulatory
CARD8-AS1	19q13.33	0.75	0.13	0.35	0.22	0.62	1.236e-3	0.0631	(A) Immunomodulatory
KLRC3	12p13.2	1.12	0.02	0.60	0.03	1.11	1.238e-3	0.0631	(A) Immunomodulatory
MDFI	6p21.1	0.13	1.27	0.25	0.73	-1.15	1.238e-3	0.0631	(B) Mesenchymal
ANKRD22	10q23.31	1.15	0.05	0.61	0.13	1.10	1.243e-3	0.0632	(A) Immunomodulatory
JAK2	9p24.1	0.68	0.03	0.36	0.05	0.65	1.249e-3	0.0632	(A) Immunomodulatory
UBE2L6	11q12.1	0.79	0.07	0.42	0.19	0.72	1.249e-3	0.0632	(A) Immunomodulatory
CCL3L3	17q12	1.19	0.17	0.38	0.35	1.02	1.257e-3	0.0634	(A) Immunomodulatory
NMI	2q23.3	0.52	0.08	0.26	0.15	0.45	1.264e-3	0.0636	(A) Immunomodulatory
ICAM2	17q23.3	0.78	0.09	0.39	0.27	0.69	1.272e-3	0.0637	(A) Immunomodulatory
BTBD3	20p12.2	0.00	0.69	0.01	0.43	-0.69	1.279e-3	0.0638	(B) Mesenchymal
NELL2	12q12	1.15	0.09	0.60	0.17	1.07	1.293e-3	0.0642	(A) Immunomodulatory
CD200R1	3q13.2	0.90	0.06	0.48	0.17	0.84	1.299e-3	0.0644	(A) Immunomodulatory
EPSTI1	13q14.11	0.96	0.07	0.51	0.22	0.89	1.323e-3	0.0654	(A) Immunomodulatory
ZNF542P	19q13.43	0.05	0.71	0.11	0.42	-0.65	1.349e-3	0.0662	(B) Mesenchymal
UBR3	2q31.1	0.04	0.42	0.08	0.24	-0.38	1.355e-3	0.0662	(B) Mesenchymal
PDCD1LG2	9p24.1	0.89	0.04	0.47	0.07	0.85	1.357e-3	0.0662	(A) Immunomodulatory
ZNF135	19q13.43	0.18	0.97	0.35	0.47	-0.78	1.360e-3	0.0662	(B) Mesenchymal
HLA-DMA	6p21.32	0.82	0.01	0.45	0.03	0.81	1.360e-3	0.0662	(A) Immunomodulatory
IRX2	5p15.33	0.18	1.09	0.26	0.58	-0.91	1.371e-3	0.0666	(B) Mesenchymal
SNX10	7p15.2	0.77	0.02	0.42	0.07	0.75	1.374e-3	0.0666	(A) Immunomodulatory
IL18R1	2q12.1	0.83	0.08	0.44	0.23	0.76	1.386e-3	0.0668	(A) Immunomodulatory
FAS	10q23.31	0.72	0.02	0.39	0.07	0.69	1.386e-3	0.0668	(A) Immunomodulatory
CLEC1A	12p13.2	0.67	0.12	0.32	0.19	0.55	1.396e-3	0.0671	(A) Immunomodulatory
ROCR	17q24.3	0.24	1.42	0.46	0.68	-1.18	1.400e-3	0.0671	(B) Mesenchymal
NCF1C	7q11.23	1.06	0.03	0.58	0.08	1.04	1.410e-3	0.0673	(A) Immunomodulatory
IL7	8q21.13	0.55	0.04	0.30	0.11	0.51	1.428e-3	0.0677	(A) Immunomodulatory
HVCN1	12q24.11	0.73	0.03	0.40	0.10	0.70	1.431e-3	0.0677	(A) Immunomodulatory
CCDC141	2q31.2	0.95	0.14	0.47	0.28	0.81	1.440e-3	0.0679	(A) Immunomodulatory
HLA-DOA	6p21.32	0.89	0.05	0.49	0.15	0.85	1.461e-3	0.0686	(A) Immunomodulatory
NPL	1q25.3	0.56	0.05	0.30	0.15	0.51	1.466e-3	0.0687	(A) Immunomodulatory
CCL5	17q12	1.33	0.09	0.71	0.19	1.23	1.471e-3	0.0687	(A) Immunomodulatory
SEMA4D	9q22.2	0.67	0.05	0.36	0.13	0.62	1.486e-3	0.0693	(A) Immunomodulatory
FYB1	5p13.1	1.03	0.05	0.57	0.16	0.98	1.501e-3	0.0698	(A) Immunomodulatory
MS4A6A	11q12.2	0.78	0.01	0.43	0.03	0.76	1.520e-3	0.0703	(A) Immunomodulatory
CLEC4D	12p13.31	1.13	0.07	0.62	0.20	1.07	1.532e-3	0.0707	(A) Immunomodulatory
RGN	Xp11.3	0.30	1.31	0.51	0.56	-1.01	1.552e-3	0.0715	(B) Mesenchymal
TNFRSF1B	1p36.22	0.84	0.01	0.47	0.03	0.83	1.556e-3	0.0715	(A) Immunomodulatory
IL18RAP	2q12.1	1.04	0.06	0.56	0.13	0.98	1.559e-3	0.0715	(A) Immunomodulatory
ITM2B	13q14.2	0.41	0.02	0.23	0.06	0.39	1.563e-3	0.0715	(A) Immunomodulatory
LINC00472	6q13	0.07	0.94	0.15	0.57	-0.87	1.571e-3	0.0717	(B) Mesenchymal
IL15RA	10p15.1	0.97	0.03	0.54	0.09	0.94	1.575e-3	0.0717	(A) Immunomodulatory
APOL6	22q12.3	0.84	0.11	0.41	0.34	0.72	1.587e-3	0.0720	(A) Immunomodulatory
AKAP5	14q23.3	0.79	0.15	0.37	0.30	0.64	1.588e-3	0.0720	(A) Immunomodulatory
MCTP2	15q26.2	0.44	0.05	0.23	0.15	0.39	1.601e-3	0.0724	(A) Immunomodulatory
LEPROTL1	8p12	0.68	0.19	0.19	0.31	0.49	1.607e-3	0.0725	(A) Immunomodulatory
LY96	8q21.11	0.87	0.10	0.46	0.25	0.76	1.613e-3	0.0725	(A) Immunomodulatory
HTR1B	6q14.1	0.04	0.93	0.11	0.58	-0.89	1.614e-3	0.0725	(B) Mesenchymal
CTSS	1q21.3	0.80	0.02	0.45	0.05	0.78	1.625e-3	0.0726	(A) Immunomodulatory
PRDM1	6q21	1.09	0.08	0.59	0.16	1.01	1.627e-3	0.0726	(A) Immunomodulatory
PRKCQ	10p15.1	1.00	0.13	0.50	0.40	0.87	1.630e-3	0.0726	(A) Immunomodulatory
HAS2	8q24.13	0.76	0.16	0.28	0.36	0.59	1.632e-3	0.0726	(A) Immunomodulatory
SP110	2q37.1	0.91	0.05	0.50	0.12	0.85	1.651e-3	0.0733	(A) Immunomodulatory
ZNF667	19q13.43	0.28	1.01	0.40	0.38	-0.73	1.687e-3	0.0747	(B) Mesenchymal
ZNF283	19q13.31	0.00	0.47	0.01	0.30	-0.46	1.690e-3	0.0747	(B) Mesenchymal
LINC00539	13q12.11	0.79	0.15	0.38	0.25	0.64	1.696e-3	0.0748	(A) Immunomodulatory
DENND2D	1p13.3-p13.2	0.63	0.06	0.34	0.16	0.57	1.720e-3	0.0756	(A) Immunomodulatory
KLRC2	12p13.2	1.30	0.23	0.62	0.36	1.07	1.753e-3	0.0769	(A) Immunomodulatory
PIK3CG	7q22.3	0.92	0.02	0.52	0.05	0.89	1.764e-3	0.0773	(A) Immunomodulatory
SNCA	4q22.1	0.58	0.02	0.33	0.05	0.57	1.792e-3	0.0779	(A) Immunomodulatory
CHKA	11q13.2	0.01	0.64	0.04	0.41	-0.62	1.798e-3	0.0779	(B) Mesenchymal
DUSP2	2q11.2	1.15	0.38	0.33	0.50	0.78	1.799e-3	0.0779	(A) Immunomodulatory
RNF24	20p13	0.05	0.57	0.13	0.35	-0.52	1.813e-3	0.0782	(B) Mesenchymal
NAA40	11q13.1	0.00	0.70	0.00	0.46	-0.70	1.820e-3	0.0783	(B) Mesenchymal
FCRL6	1q23.2	0.89	0.05	0.51	0.14	0.85	1.827e-3	0.0784	(A) Immunomodulatory
CD1E	1q23.1	1.39	0.25	0.66	0.55	1.14	1.850e-3	0.0790	(A) Immunomodulatory
CXCL2	4q13.3	1.42	0.25	0.71	0.41	1.17	1.857e-3	0.0792	(A) Immunomodulatory
CLEC6A	12p13.31	1.16	0.09	0.64	0.16	1.07	1.864e-3	0.0793	(A) Immunomodulatory
RAB33A	Xq26.1	0.90	0.09	0.49	0.19	0.81	1.892e-3	0.0800	(A) Immunomodulatory
ADGRB1	8q24.3	0.07	1.36	0.13	0.86	-1.29	1.892e-3	0.0800	(B) Mesenchymal
MIA-RAB4B	19q13.2	0.07	1.16	0.18	0.73	-1.09	1.893e-3	0.0800	(B) Mesenchymal
SCARB1	12q24.31	0.02	0.79	0.05	0.51	-0.77	1.915e-3	0.0806	(B) Mesenchymal
ACY3	11q13.2	1.40	0.21	0.73	0.31	1.19	1.937e-3	0.0812	(A) Immunomodulatory
BIN2	12q13.13	0.74	0.00	0.43	0.01	0.73	1.937e-3	0.0812	(A) Immunomodulatory
RIMBP3C	22q11.21	0.56	0.04	0.19	0.09	0.52	1.953e-3	0.0816	(A) Immunomodulatory
CEACAM21	19q13.2	0.87	0.05	0.49	0.10	0.82	1.955e-3	0.0816	(A) Immunomodulatory
TESPA1	12q13.2	1.05	0.07	0.60	0.20	0.98	1.983e-3	0.0824	(A) Immunomodulatory
LINC00892	Xq26.3	1.22	0.33	0.48	0.42	0.89	1.993e-3	0.0824	(A) Immunomodulatory
KRABD4	Xp11.3	0.07	0.56	0.10	0.34	-0.49	1.995e-3	0.0824	(B) Mesenchymal
RCOR2	11q13.1	0.12	1.16	0.26	0.71	-1.05	1.999e-3	0.0824	(B) Mesenchymal
HS3ST3B1	17p12	1.04	0.16	0.50	0.47	0.89	2.022e-3	0.0830	(A) Immunomodulatory
ZNF418	19q13.43	0.06	0.63	0.13	0.39	-0.57	2.027e-3	0.0830	(B) Mesenchymal
GBP6	1p22.2	1.14	0.22	0.56	0.36	0.91	2.041e-3	0.0834	(A) Immunomodulatory
HCP5	6p21.33	0.88	0.11	0.46	0.34	0.77	2.055e-3	0.0838	(A) Immunomodulatory
CD226	18q22.2	0.93	0.01	0.55	0.03	0.92	2.060e-3	0.0838	(A) Immunomodulatory
KBTBD8	3p14.1	0.81	0.11	0.44	0.23	0.70	2.072e-3	0.0842	(A) Immunomodulatory
GPR183	13q32.3	1.23	0.16	0.67	0.26	1.08	2.093e-3	0.0848	(A) Immunomodulatory
GFI1	1p22.1	1.14	0.17	0.58	0.45	0.97	2.117e-3	0.0852	(A) Immunomodulatory
KLK14	19q13.41	0.13	1.35	0.34	0.76	-1.23	2.118e-3	0.0852	(B) Mesenchymal
ADTRP	6p24.1	1.18	0.09	0.67	0.19	1.09	2.119e-3	0.0852	(A) Immunomodulatory
HIP1R	12q24.31	0.06	0.93	0.10	0.60	-0.88	2.120e-3	0.0852	(B) Mesenchymal
CHGB	20p12.3	0.78	0.03	0.46	0.07	0.75	2.192e-3	0.0879	(A) Immunomodulatory
TMEM273	10q11.23	0.77	0.11	0.40	0.30	0.66	2.219e-3	0.0885	(A) Immunomodulatory
LMF1	16p13.3	0.03	0.98	0.06	0.65	-0.95	2.228e-3	0.0887	(B) Mesenchymal
RGS16	1q25.3	0.86	0.13	0.46	0.27	0.73	2.269e-3	0.0897	(A) Immunomodulatory
ZNF696	8q24.3	0.02	0.63	0.05	0.42	-0.61	2.287e-3	0.0901	(B) Mesenchymal
PATL2	15q21.1	0.87	0.04	0.51	0.08	0.83	2.290e-3	0.0901	(A) Immunomodulatory
RBM12B-AS1	8q22.1	0.01	0.72	0.02	0.49	-0.72	2.293e-3	0.0901	(B) Mesenchymal
CD8A	2p11.2	1.20	0.02	0.72	0.07	1.18	2.301e-3	0.0903	(A) Immunomodulatory
ETV7	6p21.31	1.03	0.12	0.57	0.35	0.91	2.313e-3	0.0905	(A) Immunomodulatory
ACKR1	1q23.2	1.00	0.15	0.54	0.29	0.85	2.318e-3	0.0905	(A) Immunomodulatory
PLEKHO1	1q21.2	0.70	0.08	0.39	0.22	0.62	2.321e-3	0.0905	(A) Immunomodulatory
ANKRD55	5q11.2	1.11	0.16	0.60	0.23	0.95	2.357e-3	0.0914	(A) Immunomodulatory
LINC00839	10q11.21	0.17	1.24	0.43	0.73	-1.08	2.358e-3	0.0914	(B) Mesenchymal
ZC3H12A	1p34.3	0.63	0.01	0.38	0.03	0.62	2.379e-3	0.0919	(A) Immunomodulatory
SELP	1q24.2	0.93	0.07	0.54	0.11	0.87	2.384e-3	0.0919	(A) Immunomodulatory
EVL	14q32.2	0.62	0.07	0.35	0.14	0.55	2.386e-3	0.0919	(A) Immunomodulatory
SLC12A3	16q13	1.03	0.12	0.58	0.26	0.91	2.395e-3	0.0921	(A) Immunomodulatory
JCHAIN	4q13.3	1.48	0.33	0.72	0.50	1.16	2.406e-3	0.0922	(A) Immunomodulatory
DCBLD2	3q12.1	0.08	0.60	0.17	0.36	-0.52	2.409e-3	0.0922	(B) Mesenchymal
CEP128	14q31.1	0.79	0.10	0.43	0.29	0.69	2.412e-3	0.0922	(A) Immunomodulatory
NCR1	19q13.42	0.95	0.13	0.52	0.25	0.82	2.461e-3	0.0939	(A) Immunomodulatory
BPNT2	8q12.1	0.04	0.66	0.12	0.44	-0.62	2.493e-3	0.0947	(B) Mesenchymal
RASAL3	19p13.12	0.95	0.04	0.57	0.11	0.91	2.495e-3	0.0947	(A) Immunomodulatory
ICAM4	19p13.2	1.17	0.04	0.71	0.11	1.14	2.497e-3	0.0947	(A) Immunomodulatory
EPHB3	3q27.1	0.22	1.05	0.41	0.54	-0.83	2.511e-3	0.0951	(B) Mesenchymal
CCL25	19p13.2	1.24	0.14	0.69	0.19	1.10	2.554e-3	0.0965	(A) Immunomodulatory
LINC00525	7p12.3	1.26	0.04	0.55	0.08	1.23	2.560e-3	0.0965	(A) Immunomodulatory
CPA5	7q32.2	1.01	0.11	0.55	0.22	0.90	2.571e-3	0.0968	(A) Immunomodulatory
SERPINI1	3q26.1	0.58	0.10	0.28	0.26	0.47	2.576e-3	0.0968	(A) Immunomodulatory
EDEM1	3p26.1	0.63	0.06	0.36	0.17	0.57	2.588e-3	0.0968	(A) Immunomodulatory
KLRF1	12p13.31	0.94	0.12	0.52	0.31	0.82	2.595e-3	0.0968	(A) Immunomodulatory
SEL1L3	4p15.2	1.01	0.07	0.60	0.20	0.95	2.610e-3	0.0968	(A) Immunomodulatory
HLA-DMB	6p21.32	0.82	0.03	0.50	0.09	0.79	2.615e-3	0.0968	(A) Immunomodulatory
LINC03034	15q13.3	1.20	0.10	0.70	0.19	1.10	2.625e-3	0.0968	(A) Immunomodulatory
KIR3DL2	19q13.42	0.88	0.06	0.52	0.11	0.82	2.627e-3	0.0968	(A) Immunomodulatory
CASP4	11q22.3	0.64	0.05	0.38	0.14	0.59	2.629e-3	0.0968	(A) Immunomodulatory
IGSF6	16p12.2	0.72	0.08	0.41	0.24	0.64	2.631e-3	0.0968	(A) Immunomodulatory
CCR4	3p22.3	1.23	0.15	0.69	0.30	1.08	2.632e-3	0.0968	(A) Immunomodulatory
KLRC4	12p13.2	1.08	0.04	0.66	0.13	1.04	2.647e-3	0.0970	(A) Immunomodulatory
GPRC5B	16p12.3	0.04	0.75	0.10	0.50	-0.71	2.648e-3	0.0970	(B) Mesenchymal
HERPUD1	16q13	0.88	0.00	0.55	0.01	0.88	2.654e-3	0.0970	(A) Immunomodulatory
SMPD3	16q22.1	0.80	0.03	0.49	0.08	0.77	2.660e-3	0.0970	(A) Immunomodulatory
GLT1D1	12q24.33	0.71	0.06	0.42	0.19	0.65	2.667e-3	0.0970	(A) Immunomodulatory
MCL1	1q21.2	0.72	0.12	0.39	0.18	0.60	2.669e-3	0.0970	(A) Immunomodulatory
MIXL1	1q42.12	1.27	0.13	0.74	0.29	1.14	2.672e-3	0.0970	(A) Immunomodulatory
IFI35	17q21.31	0.85	0.09	0.49	0.27	0.76	2.676e-3	0.0970	(A) Immunomodulatory
ZFTA	11q13.1	0.09	0.81	0.24	0.51	-0.71	2.690e-3	0.0972	(B) Mesenchymal
SCIMP	17p13.2	0.77	0.00	0.48	0.01	0.77	2.705e-3	0.0975	(A) Immunomodulatory
ARHGEF4	2q21.1	0.08	0.98	0.21	0.64	-0.90	2.726e-3	0.0980	(B) Mesenchymal
TMSB4X	Xp22.2	0.64	0.16	0.29	0.26	0.48	2.728e-3	0.0980	(A) Immunomodulatory
CD1D	1q23.1	0.75	0.05	0.45	0.16	0.70	2.760e-3	0.0988	(A) Immunomodulatory
NOS1AP	1q23.3	0.18	0.86	0.28	0.47	-0.67	2.762e-3	0.0988	(B) Mesenchymal
NTRK1	1q23.1	0.61	0.22	0.18	0.27	0.40	2.768e-3	0.0989	(A) Immunomodulatory
CERS1	19p13.11	0.03	1.11	0.08	0.77	-1.08	2.774e-3	0.0989	(B) Mesenchymal
ZNF804A	2q32.1	0.72	0.07	0.42	0.22	0.65	2.782e-3	0.0990	(A) Immunomodulatory
CD40	20q13.12	0.84	0.09	0.48	0.15	0.75	2.785e-3	0.0990	(A) Immunomodulatory
FOXC1	6p25.3	0.23	0.98	0.32	0.52	-0.75	2.813e-3	0.0996	(B) Mesenchymal
IL12RB1	19p13.11	0.94	0.06	0.57	0.17	0.89	2.822e-3	0.0997	(A) Immunomodulatory
CD22	19q13.12	1.06	0.03	0.65	0.08	1.03	2.827e-3	0.0997	(A) Immunomodulatory
TAF2	8q24.12	0.02	0.60	0.05	0.41	-0.58	2.851e-3	0.100	(B) Mesenchymal
APOL3	22q12.3	0.83	0.03	0.51	0.09	0.80	2.857e-3	0.100	(A) Immunomodulatory
MCAT	22q13.2	0.05	0.40	0.09	0.25	-0.35	2.881e-3	0.101	(B) Mesenchymal
LILRA4	19q13.42	1.16	0.25	0.58	0.42	0.91	2.890e-3	0.101	(A) Immunomodulatory
TRIM22	11p15.4	0.88	0.05	0.53	0.15	0.82	2.896e-3	0.101	(A) Immunomodulatory
GPR132	14q32.33	0.69	0.01	0.43	0.03	0.68	2.908e-3	0.101	(A) Immunomodulatory
TXNIP	1q21.1	0.73	0.02	0.45	0.06	0.71	2.915e-3	0.102	(A) Immunomodulatory
TNFAIP3	6q23.3	0.88	0.05	0.53	0.11	0.83	2.967e-3	0.103	(A) Immunomodulatory
APOBEC3D	22q13.1	0.88	0.10	0.51	0.26	0.78	3.008e-3	0.104	(A) Immunomodulatory
MNDA	1q23.1	0.89	0.03	0.55	0.06	0.86	3.009e-3	0.104	(A) Immunomodulatory
SP100	2q37.1	0.73	0.03	0.45	0.10	0.69	3.012e-3	0.104	(A) Immunomodulatory
GPR84	12q13.13	0.80	0.06	0.48	0.15	0.74	3.014e-3	0.104	(A) Immunomodulatory
CARMIL2	16q22.1	0.86	0.11	0.50	0.26	0.75	3.028e-3	0.104	(A) Immunomodulatory
P2RY13	3q25.1	0.92	0.02	0.58	0.07	0.90	3.043e-3	0.104	(A) Immunomodulatory
EOMES	3p24.1	1.06	0.04	0.66	0.13	1.02	3.055e-3	0.104	(A) Immunomodulatory
PPP1R16A	8q24.3	0.09	0.69	0.20	0.43	-0.59	3.056e-3	0.104	(B) Mesenchymal
STX8	17p13.1	0.37	0.05	0.21	0.09	0.32	3.059e-3	0.104	(A) Immunomodulatory
CD1C	1q23.1	1.29	0.29	0.63	0.51	1.00	3.060e-3	0.104	(A) Immunomodulatory
SEMA4G	10q24.31	0.13	0.93	0.37	0.55	-0.80	3.082e-3	0.105	(B) Mesenchymal
RAB39B	Xq28	0.99	0.20	0.41	0.51	0.78	3.098e-3	0.105	(A) Immunomodulatory
CXCR2P1	2q35	1.32	0.17	0.76	0.27	1.16	3.103e-3	0.105	(A) Immunomodulatory
NLRP7	19q13.42	1.37	0.21	0.67	0.57	1.16	3.137e-3	0.106	(A) Immunomodulatory
MEI1	22q13.2	1.23	0.00	0.79	0.00	1.23	3.138e-3	0.106	(A) Immunomodulatory
