Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
DHODH	16q22.2	7.24	7.00	0.75	0.45	0.24	0.0151	0.0304	(A) BRCA_Basal
SPIB	19q13.33	6.07	4.98	2.78	2.28	1.09	0.0151	0.0305	(A) BRCA_Basal
FOXP2	7q31.1	3.22	3.95	2.03	1.48	-0.73	0.0151	0.0305	(B) BRCA_Normal
LMOD3	3p14.1	2.12	1.76	1.28	0.63	0.35	0.0151	0.0306	(A) BRCA_Basal
C20ORF202	20p13	2.51	2.85	0.90	0.69	-0.34	0.0151	0.0306	(B) BRCA_Normal
GOLPH3	5p13.3	11.68	11.45	0.60	0.49	0.24	0.0152	0.0306	(A) BRCA_Basal
COX6B1	19q13.12	11.81	11.47	0.80	0.72	0.34	0.0152	0.0306	(A) BRCA_Basal
PRSS30P	16p13.3	1.20	1.67	0.99	1.02	-0.47	0.0152	0.0306	(B) BRCA_Normal
RAC2	22q13.1	9.47	9.95	1.38	0.98	-0.49	0.0152	0.0307	(B) BRCA_Normal
SEL1L	14q31	11.12	11.43	0.71	0.66	-0.31	0.0152	0.0307	(B) BRCA_Normal
NR6A1	9q33.3	3.26	2.71	1.21	1.19	0.55	0.0152	0.0307	(A) BRCA_Basal
SLC25A47	14q32.2	0.85	0.48	0.96	0.78	0.37	0.0152	0.0307	(A) BRCA_Basal
C4BPB	1q32.1	1.92	2.88	1.93	2.13	-0.97	0.0152	0.0307	(B) BRCA_Normal
FTCD	21q22.3	2.88	1.90	1.89	2.16	0.98	0.0152	0.0307	(A) BRCA_Basal
TGM1	14q12	5.60	4.92	1.92	1.39	0.68	0.0153	0.0308	(A) BRCA_Basal
NOTCH1	9q34.3	10.91	10.55	0.93	0.75	0.36	0.0153	0.0308	(A) BRCA_Basal
FRG2B	10q26.3	0.24	0.09	0.60	0.22	0.14	0.0153	0.0308	(A) BRCA_Basal
RP2	Xp11.3	8.48	8.76	0.68	0.59	-0.28	0.0153	0.0308	(B) BRCA_Normal
NAPB	20p11.21	7.75	7.97	0.58	0.46	-0.22	0.0153	0.0309	(B) BRCA_Normal
PLBD2	12q24.13	9.26	9.55	0.66	0.63	-0.29	0.0153	0.0309	(B) BRCA_Normal
VIRMA	8q22.1	11.07	10.78	0.59	0.62	0.28	0.0153	0.0309	(A) BRCA_Basal
RILP	17p13.3	6.62	6.98	0.87	0.76	-0.36	0.0153	0.0309	(B) BRCA_Normal
ZNF471	19q13.43	6.47	6.91	1.07	0.94	-0.44	0.0154	0.0310	(B) BRCA_Normal
TMEM141	9q34.3	9.41	9.77	0.86	0.75	-0.35	0.0154	0.0310	(B) BRCA_Normal
INO80D	2q33.3	8.98	9.21	0.64	0.46	-0.23	0.0154	0.0311	(B) BRCA_Normal
CEP97	3q12.3	7.16	6.75	0.98	0.87	0.41	0.0154	0.0311	(A) BRCA_Basal
OCRL	Xq26.1	10.14	9.95	0.58	0.37	0.19	0.0154	0.0311	(A) BRCA_Basal
RADX	Xq22.3	4.58	5.13	1.85	1.04	-0.55	0.0155	0.0311	(B) BRCA_Normal
MAP4K4	2q11.2	11.80	11.48	0.65	0.72	0.32	0.0155	0.0312	(A) BRCA_Basal
PCOLCE2	3q23	6.81	5.86	2.27	2.04	0.95	0.0155	0.0312	(A) BRCA_Basal
RUNX1-IT1	21q22.12	0.76	0.47	0.72	0.59	0.28	0.0155	0.0312	(A) BRCA_Basal
PTTG1IP	21q22.3	13.04	12.84	0.58	0.41	0.20	0.0155	0.0312	(A) BRCA_Basal
CCND3	6p21.1	10.57	10.84	0.71	0.56	-0.27	0.0155	0.0313	(B) BRCA_Normal
CARMIL2	16q22.1	6.50	5.63	1.91	1.89	0.87	0.0155	0.0313	(A) BRCA_Basal
TUBA3C	13q12.11	0.32	0.83	0.83	1.15	-0.51	0.0155	0.0313	(B) BRCA_Normal
CTSH	15q25.1	11.06	11.41	0.96	0.71	-0.35	0.0155	0.0313	(B) BRCA_Normal
ZNF71	19q13.4	7.92	7.71	0.69	0.40	0.21	0.0155	0.0313	(A) BRCA_Basal
TRIM49D2	11q14.3	0.17	0.04	0.54	0.22	0.13	0.0156	0.0313	(A) BRCA_Basal
FAM136BP	6p25.2	0.37	0.19	0.57	0.36	0.18	0.0156	0.0313	(A) BRCA_Basal
KTN1	14q22.3	11.95	12.25	0.57	0.68	-0.31	0.0156	0.0313	(B) BRCA_Normal
DAPK2	15q22.31	8.21	7.77	1.13	0.92	0.44	0.0156	0.0313	(A) BRCA_Basal
TSPAN3	15q24.3	11.29	11.57	0.62	0.60	-0.28	0.0156	0.0314	(B) BRCA_Normal
DUS1L	17q25.3	10.99	10.57	0.78	0.93	0.42	0.0156	0.0314	(A) BRCA_Basal
ZSCAN26	6p22.1	7.97	8.20	0.58	0.50	-0.23	0.0156	0.0314	(B) BRCA_Normal
SH3PXD2A	10q24.33	10.99	11.39	0.89	0.87	-0.40	0.0157	0.0315	(B) BRCA_Normal
DMC1	22q13.1	3.95	3.45	1.61	0.96	0.50	0.0157	0.0315	(A) BRCA_Basal
TTC32	2p24.1	6.01	5.65	0.80	0.77	0.36	0.0157	0.0315	(A) BRCA_Basal
SPATA31A6	9p11.2	0.12	0.03	0.37	0.13	0.09	0.0157	0.0315	(A) BRCA_Basal
TUFM	16p11.2	12.04	11.83	0.58	0.43	0.21	0.0157	0.0316	(A) BRCA_Basal
DNTTIP1	20q13.12	9.34	9.10	0.66	0.50	0.24	0.0157	0.0316	(A) BRCA_Basal
ZNF70	22q11.23	6.98	7.27	0.76	0.60	-0.29	0.0157	0.0316	(B) BRCA_Normal
PXK	3p14.3	7.25	7.58	0.91	0.69	-0.33	0.0158	0.0316	(B) BRCA_Normal
DRC7	16q21	1.19	0.75	1.11	0.92	0.44	0.0158	0.0317	(A) BRCA_Basal
CHSY1	15q26.3	10.72	11.07	0.79	0.78	-0.36	0.0158	0.0317	(B) BRCA_Normal
FRG1	4q35.2	9.13	9.29	0.54	0.30	-0.16	0.0158	0.0318	(B) BRCA_Normal
FER	5q21.3	5.23	5.71	1.10	1.04	-0.48	0.0158	0.0318	(B) BRCA_Normal
NDFIP2	13q31.1	9.23	9.45	0.73	0.44	-0.23	0.0158	0.0318	(B) BRCA_Normal
ADCK5	8q24.3	7.60	7.11	1.04	1.07	0.49	0.0159	0.0319	(A) BRCA_Basal
MPDU1	17p13.1	9.78	9.98	0.53	0.40	-0.19	0.0159	0.0319	(B) BRCA_Normal
NRN1L	16q22.1	1.14	1.70	0.97	1.28	-0.57	0.0159	0.0319	(B) BRCA_Normal
IGFL1	19q13.32	2.71	1.96	2.37	1.45	0.75	0.0159	0.0319	(A) BRCA_Basal
MRPL41	9q34.3	8.71	9.20	0.99	1.08	-0.49	0.0159	0.0319	(B) BRCA_Normal
GAGE2D	Xp11.23	0.42	0.06	1.76	0.37	0.36	0.0159	0.0319	(A) BRCA_Basal
SFXN4	10q26.11	8.80	8.55	0.69	0.52	0.25	0.0159	0.0320	(A) BRCA_Basal
ST6GALNAC5	1p31.1	7.69	6.98	1.88	1.51	0.72	0.0159	0.0320	(A) BRCA_Basal
CLDN12	7q21.13	9.50	9.80	0.57	0.69	-0.31	0.0159	0.0320	(B) BRCA_Normal
LY96	8q21.11	6.72	7.24	1.01	1.16	-0.52	0.0160	0.0320	(B) BRCA_Normal
LLCFC1	7q34	0.27	0.53	0.38	0.61	-0.27	0.0160	0.0320	(B) BRCA_Normal
C3ORF49	3p14.1	0.32	0.56	0.42	0.55	-0.25	0.0160	0.0320	(B) BRCA_Normal
FAM66A	8p23.1	1.03	1.42	0.95	0.83	-0.39	0.0160	0.0320	(B) BRCA_Normal
SLC37A4	11q23.3	9.15	8.94	0.64	0.42	0.21	0.0160	0.0320	(A) BRCA_Basal
WTAP	6q25.3	10.89	10.70	0.54	0.39	0.19	0.0160	0.0320	(A) BRCA_Basal
UBQLNL	11p15.4	2.81	3.28	1.28	1.00	-0.48	0.0160	0.0320	(B) BRCA_Normal
ZNF805	19q13.43	8.29	8.46	0.54	0.34	-0.17	0.0160	0.0321	(B) BRCA_Normal
CEP95	17q23.3	9.11	8.88	0.65	0.48	0.23	0.0160	0.0321	(A) BRCA_Basal
SLC19A2	1q24.2	8.80	9.21	0.81	0.92	-0.41	0.0160	0.0321	(B) BRCA_Normal
VAV1	19p13.3	7.51	8.06	1.44	1.14	-0.55	0.0160	0.0321	(B) BRCA_Normal
RGS17	6q25.2	2.33	2.80	0.95	1.05	-0.47	0.0161	0.0322	(B) BRCA_Normal
SRGAP3	3p25.3	7.19	7.58	0.92	0.82	-0.38	0.0161	0.0322	(B) BRCA_Normal
ZNF181	19q13.11	7.62	7.85	0.71	0.45	-0.23	0.0161	0.0323	(B) BRCA_Normal
IL7R	5p13.2	6.22	7.12	2.22	1.94	-0.91	0.0161	0.0323	(B) BRCA_Normal
SMAD6	15q22.31	6.23	6.62	1.24	0.76	-0.39	0.0161	0.0323	(B) BRCA_Normal
RPS7	2p25.3	12.96	12.71	0.79	0.50	0.25	0.0162	0.0324	(A) BRCA_Basal
DGCR6	22q11.21	8.44	8.85	0.98	0.88	-0.41	0.0162	0.0324	(B) BRCA_Normal
PPP1R36	14q23.3	2.82	3.33	1.47	1.04	-0.51	0.0162	0.0324	(B) BRCA_Normal
SYT2	1q32.1	3.19	3.65	1.16	0.97	-0.46	0.0162	0.0324	(B) BRCA_Normal
ZNF93	19p12	7.40	6.99	1.04	0.89	0.42	0.0162	0.0324	(A) BRCA_Basal
CFAP299	4q21.21	0.10	0.39	0.26	0.68	-0.29	0.0162	0.0325	(B) BRCA_Normal
ENPEP	4q25	7.32	7.85	1.29	1.13	-0.53	0.0163	0.0325	(B) BRCA_Normal
ATG12	5q22.3	8.75	8.90	0.45	0.30	-0.15	0.0163	0.0326	(B) BRCA_Normal
KRT34	17q21.2	1.18	0.61	1.83	1.12	0.57	0.0163	0.0326	(A) BRCA_Basal
ARMC8	3q22.3	9.57	9.33	0.45	0.53	0.24	0.0163	0.0326	(A) BRCA_Basal
OR2L2	1q44	0.05	0.26	0.18	0.47	-0.20	0.0163	0.0326	(B) BRCA_Normal
CREB3L2	7q33	11.90	11.50	0.98	0.85	0.40	0.0163	0.0326	(A) BRCA_Basal
OPN4	10q23.2	0.62	1.06	0.75	1.01	-0.44	0.0163	0.0326	(B) BRCA_Normal
ALOX12	17p13.1	2.85	2.30	1.93	1.02	0.55	0.0163	0.0326	(A) BRCA_Basal
IFT56	7q34	6.93	6.65	0.66	0.59	0.28	0.0163	0.0326	(A) BRCA_Basal
SPDYA	2p23.2	3.82	3.47	0.78	0.77	0.35	0.0163	0.0326	(A) BRCA_Basal
BPESC1	3q23	0.08	0.02	0.25	0.09	0.06	0.0163	0.0327	(A) BRCA_Basal
SLURP1	8q24.3	3.05	2.03	2.39	2.23	1.03	0.0164	0.0327	(A) BRCA_Basal
BIN3	8p21.3	8.48	8.72	0.71	0.50	-0.25	0.0164	0.0327	(B) BRCA_Normal
FRMD1	6q27	1.05	1.59	1.18	1.18	-0.54	0.0164	0.0327	(B) BRCA_Normal
BLOC1S1	12q13.2	9.36	9.69	0.70	0.74	-0.34	0.0164	0.0327	(B) BRCA_Normal
SHQ1	3p13	8.59	8.74	0.45	0.31	-0.15	0.0164	0.0327	(B) BRCA_Normal
CYP4F30P	2q21.1	0.19	0.77	0.40	1.36	-0.58	0.0164	0.0327	(B) BRCA_Normal
CHD8	14q11.2	10.68	10.85	0.48	0.34	-0.17	0.0164	0.0328	(B) BRCA_Normal
VAX2	2p13.3	5.51	4.88	1.70	1.33	0.63	0.0164	0.0328	(A) BRCA_Basal
FAM98C	19q13.2	7.48	7.87	0.87	0.85	-0.39	0.0165	0.0329	(B) BRCA_Normal
CCDC50	3q28	10.49	10.72	0.62	0.48	-0.23	0.0165	0.0329	(B) BRCA_Normal
GLT1D1	12q24.33	3.08	3.65	1.40	1.23	-0.57	0.0165	0.0329	(B) BRCA_Normal
PLPP2	19p13.3	10.83	10.35	0.99	1.07	0.48	0.0165	0.0329	(A) BRCA_Basal
ITGA2B	17q21.31	3.32	2.71	1.61	1.29	0.61	0.0165	0.0329	(A) BRCA_Basal
NSUN3	3q11.2	6.78	6.59	0.52	0.42	0.20	0.0165	0.0329	(A) BRCA_Basal
PBXIP1	1q21.3	11.34	11.59	0.84	0.49	-0.25	0.0165	0.0329	(B) BRCA_Normal
DHRS4-AS1	14q11.2	8.81	9.13	0.86	0.68	-0.32	0.0165	0.0329	(B) BRCA_Normal
BMS1P1	10q11.22	5.59	5.91	0.84	0.69	-0.32	0.0165	0.0330	(B) BRCA_Normal
IP6K2	3p21.31	10.30	10.54	0.47	0.55	-0.24	0.0165	0.0330	(B) BRCA_Normal
RSPH10B2	7p22.1	2.17	1.68	1.08	1.09	0.49	0.0166	0.0330	(A) BRCA_Basal
KCNJ5-AS1	11q24.3	5.97	5.50	0.97	1.02	0.46	0.0166	0.0331	(A) BRCA_Basal
PROSER3	19q13.12	6.61	6.33	0.83	0.55	0.27	0.0166	0.0331	(A) BRCA_Basal
RNF144B	6p22.3	9.82	10.22	1.11	0.83	-0.40	0.0166	0.0331	(B) BRCA_Normal
H4C2	6p22.2	0.72	0.37	0.66	0.81	0.36	0.0166	0.0331	(A) BRCA_Basal
GCNA	Xq13.1	3.97	4.30	0.92	0.67	-0.33	0.0166	0.0331	(B) BRCA_Normal
RPL31	2q11.2	13.55	13.84	0.79	0.60	-0.29	0.0166	0.0331	(B) BRCA_Normal
LRRC69	8q21.3	2.00	1.61	1.13	0.79	0.39	0.0166	0.0332	(A) BRCA_Basal
KIF5B	10p11.22	12.28	12.03	0.72	0.51	0.25	0.0167	0.0332	(A) BRCA_Basal
RNF14	5q31.3	9.99	10.13	0.43	0.29	-0.14	0.0167	0.0332	(B) BRCA_Normal
SRSF7	2p22.1	11.23	11.07	0.37	0.36	0.16	0.0167	0.0332	(A) BRCA_Basal
UFM1	13q13.3	10.41	10.59	0.55	0.37	-0.18	0.0167	0.0332	(B) BRCA_Normal
ALKBH6	19q13.12	6.97	6.58	0.80	0.88	0.39	0.0167	0.0333	(A) BRCA_Basal
HLA-DMA	6p21.32	10.27	10.73	1.27	0.97	-0.46	0.0167	0.0333	(B) BRCA_Normal
GPX1	3p21.31	11.52	11.86	0.83	0.74	-0.34	0.0167	0.0334	(B) BRCA_Normal
LGI1	10q23.33	0.42	1.26	1.02	1.96	-0.84	0.0168	0.0334	(B) BRCA_Normal
ZFYVE19	15q15.1	8.77	9.08	0.61	0.68	-0.30	0.0168	0.0334	(B) BRCA_Normal
RNF10	12q24.31	11.65	11.78	0.36	0.27	-0.13	0.0168	0.0334	(B) BRCA_Normal
NACA2	17q23.2	5.45	6.11	1.23	1.49	-0.66	0.0168	0.0335	(B) BRCA_Normal
RNMT	18p11.21	10.16	9.92	0.67	0.50	0.24	0.0168	0.0335	(A) BRCA_Basal
SMARCA2	9p24.3	11.39	11.67	0.77	0.57	-0.27	0.0168	0.0335	(B) BRCA_Normal
ALPL	1p36.12	8.82	9.38	1.63	1.14	-0.56	0.0168	0.0335	(B) BRCA_Normal
ABCB9	12q24.31	7.46	7.14	0.91	0.68	0.33	0.0169	0.0336	(A) BRCA_Basal
KIR2DL4	19q13.42	2.44	1.73	1.86	1.51	0.71	0.0169	0.0336	(A) BRCA_Basal
TAS2R4	7q34	1.37	1.78	0.80	0.91	-0.40	0.0169	0.0336	(B) BRCA_Normal
SDR39U1	14q12	8.72	9.01	0.72	0.62	-0.29	0.0169	0.0337	(B) BRCA_Normal
CILP2	19p13.11	7.07	7.86	1.49	1.79	-0.79	0.0169	0.0337	(B) BRCA_Normal
OTOAP1	16p12.2	1.87	2.58	1.00	1.64	-0.71	0.0169	0.0337	(B) BRCA_Normal
DNAJB1	19p13.12	11.87	11.64	0.61	0.49	0.23	0.0170	0.0337	(A) BRCA_Basal
SLC39A11	17q24.3-q25.1	9.78	10.13	0.74	0.78	-0.35	0.0170	0.0338	(B) BRCA_Normal
ARHGAP31	3q13.32-q13.33	9.62	9.95	0.90	0.70	-0.33	0.0170	0.0338	(B) BRCA_Normal
RGS2	1q31.2	9.55	10.07	1.55	1.05	-0.52	0.0170	0.0338	(B) BRCA_Normal
FAM81A	15q22.2	5.71	5.23	1.52	0.95	0.48	0.0170	0.0339	(A) BRCA_Basal
FAM162A	3q21.1	9.98	9.66	0.85	0.65	0.31	0.0170	0.0339	(A) BRCA_Basal
ARL1	12q23.2	10.91	11.11	0.49	0.43	-0.20	0.0171	0.0339	(B) BRCA_Normal
RUFY1	5q35.3	10.09	10.27	0.59	0.36	-0.18	0.0171	0.0339	(B) BRCA_Normal
PRSS54	16q21	0.32	0.10	0.80	0.42	0.23	0.0171	0.0340	(A) BRCA_Basal
SCX	8q24.3	2.21	1.60	1.32	1.36	0.61	0.0172	0.0341	(A) BRCA_Basal
MRE11	11q21	9.02	8.73	0.74	0.62	0.29	0.0172	0.0341	(A) BRCA_Basal
SIM1	6q16.3	3.40	2.46	2.49	1.99	0.94	0.0172	0.0341	(A) BRCA_Basal
PIP5KL1	9q34.11	3.93	4.47	1.30	1.18	-0.54	0.0172	0.0342	(B) BRCA_Normal
SPAG7	17p13.2	9.20	9.43	0.64	0.47	-0.23	0.0172	0.0342	(B) BRCA_Normal
HTR2C	Xq23	1.00	0.47	1.67	1.08	0.54	0.0172	0.0342	(A) BRCA_Basal
SCTR	2q14.2	0.29	0.50	0.51	0.46	-0.21	0.0172	0.0342	(B) BRCA_Normal
FMR1-AS1	Xq27.3	0.69	0.46	0.64	0.47	0.23	0.0173	0.0343	(A) BRCA_Basal
SNAPC5	15q22.31	6.44	6.59	0.54	0.28	-0.15	0.0173	0.0343	(B) BRCA_Normal
RPRML	17q21.32	1.38	0.73	1.77	1.37	0.65	0.0173	0.0343	(A) BRCA_Basal
TAF7L	Xq22.1	2.80	2.22	1.40	1.28	0.58	0.0173	0.0343	(A) BRCA_Basal
LEAP2	5q31.1	1.93	2.35	0.81	0.93	-0.41	0.0173	0.0344	(B) BRCA_Normal
EMILIN3	20q12	4.81	5.87	2.36	2.34	-1.06	0.0174	0.0344	(B) BRCA_Normal
GSS	20q11.22	9.85	10.09	0.68	0.50	-0.24	0.0174	0.0345	(B) BRCA_Normal
PRSS57	19p13.3	0.15	0.32	0.30	0.39	-0.17	0.0174	0.0345	(B) BRCA_Normal
DSPP	4q22.1	0.27	0.13	0.38	0.30	0.14	0.0174	0.0345	(A) BRCA_Basal
MCAM	11q23.3	11.28	11.61	0.86	0.69	-0.32	0.0174	0.0345	(B) BRCA_Normal
CUL9	6p21.1	9.24	9.48	0.65	0.51	-0.24	0.0174	0.0345	(B) BRCA_Normal
USPL1	13q12.3	8.62	8.84	0.58	0.45	-0.21	0.0174	0.0345	(B) BRCA_Normal
P2RX1	17p13.2	4.02	4.65	1.99	1.26	-0.63	0.0174	0.0346	(B) BRCA_Normal
MARCHF3	5q23.2	7.03	6.59	1.32	0.90	0.44	0.0174	0.0346	(A) BRCA_Basal
IFNE	9p21.3	1.27	1.91	1.23	1.46	-0.64	0.0174	0.0346	(B) BRCA_Normal
CD8A	2p11.2	7.61	8.24	1.77	1.32	-0.63	0.0175	0.0347	(B) BRCA_Normal
UTP20	12q23.2	9.77	9.46	0.82	0.66	0.31	0.0175	0.0347	(A) BRCA_Basal
ZMYND19	9q34.3	8.96	8.60	0.75	0.79	0.35	0.0175	0.0347	(A) BRCA_Basal
POFUT1	20q11.21	10.91	10.76	0.47	0.30	0.15	0.0175	0.0347	(A) BRCA_Basal
RRP7BP	22q13.2	6.76	7.22	0.86	1.05	-0.46	0.0175	0.0347	(B) BRCA_Normal
PDE6D	2q37.1	8.57	8.40	0.48	0.35	0.17	0.0175	0.0347	(A) BRCA_Basal
NRBP1	2p23.3	11.50	11.33	0.48	0.34	0.17	0.0175	0.0347	(A) BRCA_Basal
PNMA6A	Xq28	5.12	4.54	2.06	1.07	0.57	0.0175	0.0347	(A) BRCA_Basal
NIBAN3	19p13.11	2.65	3.61	1.86	2.17	-0.96	0.0175	0.0348	(B) BRCA_Normal
CUL3	2q36.2	10.68	10.83	0.44	0.29	-0.14	0.0175	0.0348	(B) BRCA_Normal
CHIAP2	1p13.2	0.14	0.04	0.44	0.17	0.11	0.0176	0.0348	(A) BRCA_Basal
FAM24B	10q26.13	4.80	4.34	1.33	0.96	0.46	0.0176	0.0349	(A) BRCA_Basal
MTNR1A	4q35.2	0.71	0.39	0.84	0.68	0.32	0.0176	0.0349	(A) BRCA_Basal
CA13	8q21.2	7.26	6.77	1.24	1.05	0.49	0.0176	0.0349	(A) BRCA_Basal
COL5A1	9q34.3	12.16	12.91	1.42	1.73	-0.76	0.0176	0.0349	(B) BRCA_Normal
PTBP2	1p21.3	8.52	8.26	0.79	0.53	0.26	0.0177	0.0349	(A) BRCA_Basal
RGPD4	2q12.3	6.94	7.21	0.67	0.60	-0.27	0.0177	0.0351	(B) BRCA_Normal
ZRSR2	Xp22.2	8.05	8.31	0.61	0.57	-0.26	0.0178	0.0352	(B) BRCA_Normal
RAPGEF4-AS1	2q31.1	0.44	0.24	0.56	0.41	0.19	0.0178	0.0352	(A) BRCA_Basal
RPS6KB2	11q13.2	9.80	9.50	0.62	0.67	0.30	0.0178	0.0352	(A) BRCA_Basal
BICRA	19q13.33	8.13	8.38	0.60	0.54	-0.25	0.0178	0.0352	(B) BRCA_Normal
NOC3L	10q23.33	8.95	8.71	0.57	0.52	0.24	0.0178	0.0353	(A) BRCA_Basal
NLRP12	19q13.42	2.30	2.85	1.10	1.25	-0.55	0.0179	0.0354	(B) BRCA_Normal
VPS4A	16q23.1	10.87	10.71	0.48	0.33	0.16	0.0179	0.0354	(A) BRCA_Basal
PDIK1L	1p36.11	8.45	8.70	0.61	0.53	-0.24	0.0179	0.0354	(B) BRCA_Normal
SLN	11q22.3	1.84	1.32	1.39	1.12	0.52	0.0179	0.0354	(A) BRCA_Basal
ITPKC	19q13.2	9.89	10.17	0.71	0.61	-0.28	0.0179	0.0354	(B) BRCA_Normal
KRT84	12q13.13	0.35	0.18	0.69	0.31	0.18	0.0180	0.0355	(A) BRCA_Basal
DAAM2	6p21.2	8.26	8.67	1.28	0.83	-0.41	0.0180	0.0355	(B) BRCA_Normal
RCBTB1	13q14.2	8.88	9.16	0.73	0.59	-0.28	0.0180	0.0356	(B) BRCA_Normal
ASS1	9q34.11	11.58	11.07	1.26	1.09	0.50	0.0180	0.0356	(A) BRCA_Basal
NQO1	16q22.1	10.10	10.72	1.61	1.32	-0.61	0.0180	0.0356	(B) BRCA_Normal
H1-4	6p22.2	2.73	2.24	0.97	1.11	0.49	0.0180	0.0356	(A) BRCA_Basal
MTCL2	20q11.23	8.52	8.84	0.78	0.68	-0.31	0.0180	0.0357	(B) BRCA_Normal
SHKBP1	19q13.2	10.18	9.92	0.69	0.56	0.26	0.0181	0.0357	(A) BRCA_Basal
SRP72	4q12	11.58	11.38	0.57	0.41	0.20	0.0181	0.0358	(A) BRCA_Basal
ZNF182	Xp11.23	7.30	7.50	0.60	0.41	-0.20	0.0181	0.0358	(B) BRCA_Normal
ACY1	3p21.2	8.96	9.25	0.81	0.62	-0.29	0.0181	0.0358	(B) BRCA_Normal
CEP20	16p13.11	9.70	9.53	0.50	0.35	0.17	0.0181	0.0358	(A) BRCA_Basal
HES6	2q37.3	6.89	6.27	1.32	1.41	0.63	0.0181	0.0358	(A) BRCA_Basal
ZNF341	20q11.22	7.46	7.26	0.52	0.45	0.21	0.0181	0.0358	(A) BRCA_Basal
EXOC8	1q42.2	8.98	8.77	0.57	0.45	0.21	0.0182	0.0358	(A) BRCA_Basal
KCNH5	14q23.2	0.59	0.29	1.04	0.56	0.29	0.0182	0.0360	(A) BRCA_Basal
UBE3A	15q11.2	10.56	10.80	0.57	0.52	-0.24	0.0182	0.0360	(B) BRCA_Normal
IL1RAP	3q28	7.82	8.27	1.10	0.98	-0.45	0.0183	0.0360	(B) BRCA_Normal
CSF2	5q31.1	1.15	0.75	1.14	0.87	0.41	0.0183	0.0361	(A) BRCA_Basal
GOLGA6L6	15q11.2	0.49	0.22	1.20	0.42	0.28	0.0183	0.0361	(A) BRCA_Basal
H1-0	22q13.1	12.16	12.48	0.92	0.65	-0.31	0.0184	0.0362	(B) BRCA_Normal
DRC12	11q23.3	2.76	3.37	1.14	1.38	-0.60	0.0184	0.0363	(B) BRCA_Normal
AP5S1	20p13	7.67	7.88	0.56	0.45	-0.21	0.0184	0.0363	(B) BRCA_Normal
MRPL10	17q21.32	9.41	9.60	0.50	0.39	-0.18	0.0184	0.0363	(B) BRCA_Normal
KLF12	13q22.1	8.58	8.96	1.08	0.80	-0.38	0.0184	0.0364	(B) BRCA_Normal
CALD1	7q33	12.65	13.00	0.90	0.76	-0.35	0.0185	0.0364	(B) BRCA_Normal
NYNRIN	14q12	9.04	9.46	1.35	0.83	-0.42	0.0185	0.0364	(B) BRCA_Normal
AZIN1	8q22.3	12.27	12.00	0.65	0.62	0.28	0.0185	0.0365	(A) BRCA_Basal
DNAH3	16p12.3	2.65	2.00	1.82	1.38	0.65	0.0185	0.0366	(A) BRCA_Basal
SIRT1	10q21.3	9.05	9.28	0.66	0.48	-0.23	0.0186	0.0366	(B) BRCA_Normal
VAMP4	1q24.3	8.47	8.65	0.54	0.38	-0.18	0.0186	0.0366	(B) BRCA_Normal
MX1	21q22.3	11.75	11.07	1.71	1.47	0.67	0.0186	0.0366	(A) BRCA_Basal
NIT1	1q23.3	9.24	9.08	0.53	0.31	0.16	0.0186	0.0366	(A) BRCA_Basal
LHX2	9q33.3	3.44	2.57	2.23	1.91	0.87	0.0186	0.0367	(A) BRCA_Basal
POM121C	7q11.23	9.84	9.65	0.50	0.42	0.19	0.0186	0.0367	(A) BRCA_Basal
RBM10	Xp11.3	10.50	10.32	0.50	0.40	0.18	0.0186	0.0367	(A) BRCA_Basal
LINC02915	15q14	1.86	1.38	1.20	1.07	0.48	0.0187	0.0368	(A) BRCA_Basal
TXNDC16	14q22.1	8.19	8.50	0.94	0.66	-0.32	0.0187	0.0368	(B) BRCA_Normal
AKNAD1	1p13.3	1.29	1.78	1.08	1.09	-0.49	0.0187	0.0368	(B) BRCA_Normal
MYH6	14q11.2	0.90	0.46	1.04	0.98	0.44	0.0187	0.0368	(A) BRCA_Basal
CEP350	1q25.2	10.64	10.36	0.66	0.63	0.28	0.0187	0.0368	(A) BRCA_Basal
SLC35E2A	1p36.33	5.17	5.56	1.12	0.85	-0.40	0.0187	0.0368	(B) BRCA_Normal
ZNF12	7p22.1	9.38	9.58	0.54	0.42	-0.20	0.0187	0.0368	(B) BRCA_Normal
SCGB2B2	19q13.12	0.69	1.35	0.99	1.55	-0.66	0.0187	0.0369	(B) BRCA_Normal
HSPA1A	6p21.33	13.65	13.22	0.96	0.96	0.43	0.0188	0.0370	(A) BRCA_Basal
BMP8B	1p34.2	6.13	5.57	1.56	1.19	0.56	0.0188	0.0370	(A) BRCA_Basal
CLN3	16p12.1	10.20	10.48	0.64	0.64	-0.29	0.0188	0.0370	(B) BRCA_Normal
COG6	13q14.11	8.80	9.07	0.67	0.58	-0.27	0.0188	0.0371	(B) BRCA_Normal
SH3KBP1	Xp22.12	10.25	9.92	0.94	0.72	0.34	0.0189	0.0372	(A) BRCA_Basal
H2BC7	6p22.2	2.17	1.58	1.12	1.37	0.60	0.0189	0.0372	(A) BRCA_Basal
SMURF1	7q22.1	10.13	9.90	0.57	0.51	0.23	0.0189	0.0372	(A) BRCA_Basal
AIDA	1q41	10.40	10.17	0.52	0.52	0.23	0.0189	0.0372	(A) BRCA_Basal
